"RETURNED" "weight" "volume" "price" "rating"
"1" "no" 2.94 58 59.25 2.3
"2" "no" 3.37 55 19.5 7.4
"3" "no" 0.46 42 61.5 3.1
"4" "no" 2.43 40 7.75 7.2
"5" "yes" 0.44 47 65.5 5.5
"6" "yes" 2.72 41 59.5 1.4
"7" "no" 3.49 57 50.25 5.6
"8" "yes" 2.26 40 81 2.4
"9" "yes" 1.47 52 70 0.5
"10" "no" 3.93 51 3.25 1
"11" "no" 2.03 60 60.75 3.6
"12" "no" 1.73 24 52.75 3.7
"13" "yes" 2.73 38 42.25 4.5
"14" "no" 1.33 21 27.5 4.1
"15" "no" 3.33 74 8.5 4.9
"16" "no" 3.07 37 4.25 4.4
"17" "no" 3.15 48 59 5.3
"18" "yes" 1.16 54 87 2.1
"19" "no" 2.96 60 8.25 5.6
"20" "no" 2.41 54 66.5 0.7
"21" "yes" 1.9 51 60.25 4.5
"22" "no" 2.49 42 12 4.5
"23" "no" 1.02 48 64.25 2.5
"24" "no" 4.24 82 15.5 4.3
"25" "no" 2.78 52 65.25 7.7
"26" "no" 3.23 57 10.75 6.2
"27" "no" 2.06 52 61 4.4
"28" "no" 2.98 54 1.5 4.4
"29" "yes" 0.81 47 83.25 3.1
"30" "no" 2.38 64 58.75 4.3
"31" "no" 2.84 49 62.25 4.5
"32" "no" 1.18 48 8.25 3.8
"33" "no" 2 32 25.75 3.1
"34" "no" 1.03 58 9.25 4.1
"35" "no" 0.14 30 18.5 6.1
"36" "no" 3.03 49 62.25 3.2
"37" "no" 3.06 58 54.5 5.5
"38" "yes" 5.06 61 48.25 4
"39" "no" 1.05 47 63.75 3.2
"40" "no" 4.79 53 52.75 2.4
"41" "no" 4.74 56 13.75 5.7
"42" "yes" 2.62 49 52.75 2.1
"43" "yes" 0.97 47 67 3
"44" "no" 0.59 35 57.25 6.2
"45" "yes" 1.59 49 71 4.7
"46" "yes" 4.34 48 66.5 1.6
"47" "yes" 3.24 53 41.25 0.6
"48" "no" 5.22 71 3.5 4.7
"49" "no" 3.81 64 60.75 5.8
"50" "yes" 3.63 51 66.75 0.4
"51" "yes" 2.67 50 47.75 4.7
"52" "yes" 2.43 39 64.5 4.1
"53" "no" 2.29 35 24 7.8
"54" "no" 1.66 35 67.5 7.7
"55" "no" 3.3 66 54.75 1.7
"56" "yes" 3.44 50 103.5 1.6
"57" "yes" 2.22 38 25.75 0.7
"58" "no" 4.39 49 57 5.5
"59" "yes" 0.43 32 65 3.8
"60" "no" 4.49 52 1.75 6.1
"61" "no" 1.9 27 6.5 5.5
"62" "no" 1.97 56 9 4.9
"63" "no" 2.71 48 62.5 4.4
"64" "no" 2.93 44 4.5 3.7
"65" "no" 2.09 50 11 5.2
"66" "no" 4.31 86 58.25 1.9
"67" "yes" 0.37 25 65.75 3.5
"68" "yes" 3.31 48 43.25 4.7
"69" "no" 1.53 38 63.75 6.4
"70" "yes" 2.99 62 64.25 4.6
"71" "no" 5.11 51 13 4.3
"72" "no" 1.17 38 25 6.8
"73" "no" 1.45 73 18 9.9
"74" "no" 1.17 33 62.75 3.7
"75" "no" 1.01 48 64.25 1.9
"76" "yes" 3.06 51 66.25 3
"77" "yes" 1.7 45 60 4.1
"78" "no" 3.65 45 61.25 7.4
"79" "no" 2.55 24 54 6.4
"80" "no" 1.05 45 10 6
"81" "no" 1.95 55 6.75 9.6
"82" "no" 5.56 89 7.5 5.6
"83" "no" 1.09 31 69.5 3.9
"84" "no" 1.95 51 1.75 3.2
"85" "yes" 0.2 33 74.25 4.6
"86" "no" 3.22 46 11.5 4.1
"87" "no" 2.85 48 51.25 2.8
"88" "yes" 3.86 63 67.25 0.6
"89" "yes" 0.88 24 63.75 1.1
"90" "yes" 2.86 51 76.25 0.9
"91" "yes" 4.76 67 110.75 2.9
"92" "no" 1.11 38 66.5 4.8
"93" "no" 3.15 56 52.75 1.6
"94" "no" 1.92 60 59.25 3.4
"95" "yes" 2.1 46 66.25 4.5
"96" "no" 3.65 72 1.75 2.9
"97" "no" 3.86 60 58 8.6
"98" "yes" 3.42 35 69.75 0.9
"99" "no" 2.9 40 4.25 9.4
"100" "yes" 0.23 23 67.25 0.8
"101" "no" 2.78 44 61.25 4
"102" "no" 3.63 60 33 7.8
"103" "no" 1.21 37 5.75 5.8
"104" "no" 2.41 54 54.75 5.2
"105" "no" 3.96 77 61.5 3.6
"106" "no" 3.9 48 9.75 3.3
"107" "no" 3.94 43 11.25 4.7
"108" "no" 3.47 64 32.5 6.4
"109" "no" 2.62 49 15.25 6.4
"110" "no" 2.38 47 69 0.8
"111" "yes" 2.65 37 57.5 4.2
"112" "yes" 2.39 62 52.75 2.2
"113" "no" 2.37 50 14.5 4
"114" "yes" 3.42 52 56 1.9
"115" "no" 3.64 50 12.25 8.8
"116" "yes" 0.72 42 63.75 0.3
"117" "no" 2.6 61 20.75 1.2
"118" "no" 3.29 64 23 3.5
"119" "no" 2.9 57 59.5 5.6
"120" "yes" 1.58 53 51.75 4.7
"121" "no" 1.65 42 61.25 5.1
"122" "no" 0.97 43 13.75 3.6
"123" "yes" 4.94 83 61.75 3.6
"124" "no" 1.07 43 68.25 0.5
"125" "no" 2.23 53 59.25 7
