"Academic" "stay" "age" "beds" "doctors" "nurses" "quality"
"1" "no" 7.0817 57.9483 447 202 452 18.2558
"2" "no" 5.0707 54.6795 568 269 540 59.3887
"3" "no" 5.7176 42.1581 456 244 477 25.119
"4" "no" 8.0794 39.7669 521 271 520 57.2744
"5" "no" 7.1536 47.1267 336 208 405 43.7776
"6" "yes" 4.0841 41.0607 728 355 946 69.3061
"7" "no" 5.7487 56.5746 411 283 476 44.441
"8" "yes" 6.7567 40.0325 814 438 1061 55.5672
"9" "yes" 5.3627 51.647 770 363 986 65.4695
"10" "no" 7.5614 51.3844 503 296 524 8.036
"11" "no" 10.2355 59.5767 453 297 503 29.094
"12" "no" 5.4232 23.582 421 341 510 29.6988
"13" "yes" 7.8068 37.506 659 336 878 51.8601
"14" "no" 5.448 20.8422 600 383 611 33.0665
"15" "no" 8.0176 74.2345 524 250 511 39.2957
"16" "no" 8.9168 36.7181 507 309 533 35.4633
"17" "no" 6.4592 47.5745 446 206 454 42.0514
"18" "yes" 8.8761 54.4752 838 425 1075 54.7547
"19" "no" 7.5581 60.0152 523 318 544 44.4656
"20" "no" 8.6308 53.6083 476 173 451 5.2091
"21" "yes" 6.9376 51.0403 731 298 920 60.4793
"22" "no" 7.9947 42.392 402 311 486 35.8167
"23" "no" 6.6799 47.9663 467 300 510 19.686
"24" "no" 6.9366 81.8056 552 317 557 34.7872
"25" "no" 7.7514 52.2677 471 307 516 61.4595
"26" "no" 8.2491 56.7108 397 192 425 49.432
"27" "no" 10.9807 52.1508 454 348 528 34.9801
"28" "no" 5.212 54.4635 496 335 541 35.2497
"29" "yes" 6.4711 46.7593 823 431 1065 61.1652
"30" "no" 8.7393 63.6764 445 322 511 34.7322
"31" "no" 8.306 49.3493 459 384 549 36.2021
"32" "no" 5.7417 47.7702 523 170 470 30.2514
"33" "no" 8.8872 32.2223 593 276 555 24.5515
"34" "no" 9.0979 58.2778 391 116 384 33.1907
"35" "no" 8.1064 29.8616 564 243 525 48.9489
"36" "no" 5.9992 48.9726 459 209 461 25.7825
"37" "no" 8.4617 58.4196 428 223 454 43.702
"38" "yes" 7.3053 60.625 683 259 860 58.237
"39" "no" 6.2017 47.3549 465 252 485 25.669
"40" "no" 4.9548 53.3109 421 294 487 19.3435
"41" "no" 9.0942 56.4442 409 237 453 45.9103
"42" "yes" 5.3254 48.6325 701 322 907 62.6844
"43" "yes" 5.6492 46.8978 758 346 967 58.8468
"44" "no" 4.8843 34.8278 439 309 502 49.3615
"45" "yes" 5.1063 48.6962 774 385 1000 51.7475
"46" "yes" 4.7854 48.2648 756 364 975 52.1903
"47" "yes" 6.2658 52.5954 655 330 871 47.6794
"48" "no" 5.0421 71.2769 368 229 430 37.6835
"49" "no" 6.47 63.8239 453 193 450 46.6734
"50" "yes" 6.3177 50.9556 757 354 970 74.1368
"51" "yes" 5.4152 49.963 681 330 894 47.8695
"52" "yes" 5.5112 38.675 748 387 980 33.4366
"53" "no" 8.8368 34.7163 586 241 534 62.3126
"54" "no" 7.9984 34.9354 480 261 496 61.2141
"55" "no" 7.9271 66.3313 429 201 444 13.3823
"56" "yes" 8.2989 50.397 904 461 1149 94.6794
"57" "yes" 8.0367 37.6999 593 291 800 64.2436
"58" "no" 6.1178 49.3237 438 312 503 43.7612
"59" "yes" 9.2252 32.4992 750 486 1031 65.0556
"60" "no" 7.9925 52.0938 361 59 342 49.106
"61" "no" 5.4165 27.0479 516 338 552 43.9154
"62" "no" 6.203 55.6187 390 352 501 39.1483
"63" "no" 7.9933 47.5866 460 246 480 35.4801
"64" "no" 7.1419 44.2465 508 377 567 29.5767
"65" "no" 7.3064 50.4304 534 218 499 41.9767
"66" "no" 7.6345 85.9229 443 256 477 15.0004
"67" "no" 9.0286 25.2199 337 193 398 28.032
"68" "yes" 6.8566 47.7139 663 326 877 23.0487
"69" "no" 7.9073 38.263 465 87 403 51.4918
"70" "no" 4.4873 61.5575 331 174 386 36.8731
"71" "no" 9.0338 50.5969 406 310 488 34.0483
"72" "no" 6.9548 38.3404 590 371 601 54.1205
"73" "no" 4.8265 72.552 562 404 605 78.9656
"74" "no" 8.4093 32.5694 461 211 463 29.9179
"75" "no" 8.1572 48.041 467 273 497 15.3907
"76" "yes" 5.9914 51.4349 755 319 951 73.4676
"77" "yes" 8.7573 44.967 730 329 935 57.9704
"78" "no" 9.674 45.2282 455 264 487 59.2694
"79" "no" 6.9857 23.773 426 331 507 50.9331
"80" "no" 6.9458 45.2946 530 224 500 47.9676
"81" "no" 8.2773 55.3443 517 375 570 -4.0534
"82" "no" 7.6611 89.4969 520 218 493 44.4657
"83" "no" 6.3476 30.9697 488 250 494 31.1677
"84" "no" 8.0479 50.8691 361 55 340 25.2479
"85" "yes" 5.5945 32.8777 787 391 1014 76.2823
"86" "no" 6.3906 46.3233 536 294 538 32.5605
"87" "no" 3.789 47.7495 415 294 484 22.7724
"88" "yes" 6.1726 63.4051 759 529 1059 61.8504
"89" "yes" 9.2914 24.1734 745 482 1024 67.9243
"90" "yes" 8.0976 51.1492 795 350 1001 83.6589
"91" "yes" 6.1632 67.2648 933 406 1146 57.4204
"92" "no" 6.1169 38.0144 476 298 513 38.732
"93" "no" 6.7781 55.7911 421 378 529 13.0705
"94" "no" 3.2994 60.4177 447 204 453 26.9411
"95" "no" 8.5813 45.7201 339 193 399 36.2702
"96" "no" 9.3926 72.273 497 292 520 22.8731
"97" "no" 9.448 60.3317 442 204 451 68.8547
"98" "yes" 7.4099 35.3286 769 449 1029 63.8082
"99" "no" 8.8934 40.2544 507 226 491 -4.6126
"100" "no" 7.668 22.605 343 303 456 6.6415
"101" "no" 6.5605 44.0988 455 293 501 31.9114
"102" "no" 9.7802 59.5351 622 360 610 62.3463
"103" "no" 9.03 37.1523 513 333 547 46.5041
"104" "no" 8.3408 53.5033 429 302 494 41.9642
"105" "no" 7.7732 76.8152 456 297 504 28.7152
"106" "no" 7.1542 48.1523 393 194 424 26.7588
"107" "no" 8.4492 43.2061 535 372 577 37.6834
"108" "no" 6.2466 63.874 620 380 619 51.3359
"109" "no" 5.454 49.3367 551 293 544 50.8108
"110" "no" 10.6405 46.62 486 258 498 6.5151
"111" "yes" 5.2834 36.7908 720 440 982 43.85
"112" "yes" 5.8741 61.997 701 379 935 69.1462
"113" "no" 9.3363 49.7732 548 249 521 31.7855
"114" "yes" 2.5896 52.0728 714 354 934 48.4533
"115" "no" 6.871 50.0105 539 360 573 -9.6073
"116" "yes" 6.0617 41.9224 745 504 1035 56.9042
"117" "no" 8.1048 61.0565 573 258 537 9.2209
"118" "no" 7.9518 63.7641 582 232 528 27.7058
"119" "no" 6.8357 57.257 448 126 415 44.6065
"120" "no" 4.7534 52.6723 281 144 348 37.7184
"121" "no" 5.9096 41.7153 455 160 435 40.7057
