ID Salary Experience Employed Education Gender Department
110 39551 6 18 5 F 1
129 39630 6 9 5 F 4
140 48548 3 20 4 M 4
64 32820 6 18 5 F 1
72 31977 7 18 9 M 1
112 39109 9 19 4 M 3
134 36471 1 6 4 M 2
77 72369 3 22 10 M 4
142 57263 5 12 8 F 4
40 26578 6 0 2 F 2
28 51698 6 18 6 M 4
48 49307 3 20 4 M 4
11 23654 0 0 0 F 3
53 29671 1 5 0 M 4
25 43674 9 6 4 M 2
176 43619 4 9 6 M 4
27 53234 0 25 6 M 3
56 37354 2 6 6 M 4
23 46211 5 14 6 F 4
65 39610 5 6 2 M 4
164 38436 7 18 9 M 1
36 54679 3 20 6 F 3
62 36452 5 9 4 F 2
41 47536 5 15 6 M 3
178 26701 6 0 2 F 2
70 30860 0 2 3 F 2
82 55550 3 20 6 F 3
79 38110 6 9 2 F 4
136 32986 6 7 5 F 3
128 56240 3 20 6 F 3
37 39743 6 9 5 F 4
174 54870 3 20 6 F 3
18 39828 6 18 5 F 1
144 37851 2 8 2 F 4
26 38985 7 18 9 M 1
105 36399 6 6 4 F 4
29 41889 16 22 7 M 1
149 23845 0 0 0 F 3
6 35487 2 8 2 F 4
104 39218 3 9 6 F 4
147 28999 6 5 1 M 1
12 39331 3 9 6 F 4
173 37995 4 6 4 M 4
126 28708 1 0 4 F 1
47 68610 0 27 12 F 4
116 29776 0 2 3 F 2
51 37992 5 7 4 F 4
114 34519 4 5 4 M 4
46 26452 3 1 2 F 4
38 41255 4 9 6 M 4
