ID Salary Experience Employed Education Gender Department
123 69133 3 22 10 M 4
76 31783 4 21 5 M 1
119 54795 0 25 6 M 3
111 36374 5 6 2 M 4
27 53234 0 25 6 M 3
61 71548 2 25 12 M 4
157 38851 5 6 2 M 4
90 32296 6 7 5 F 3
1 65487 0 27 12 F 4
160 36996 4 5 4 M 4
163 43797 9 6 4 M 2
176 43619 4 9 6 M 4
81 38754 4 6 4 M 4
87 48407 5 15 6 M 3
120 51585 6 18 6 M 4
136 32986 6 7 5 F 3
49 25774 1 0 7 M 1
107 68312 2 25 12 M 4
159 30979 11 3 3 M 1
51 37992 5 7 4 F 4
117 43574 9 6 4 M 2
169 71610 3 22 10 M 4
167 41340 16 22 7 M 1
106 35367 6 3 6 F 2
55 22540 6 5 1 M 1
124 48582 19 6 8 M 4
15 68425 2 25 12 M 4
64 32820 6 18 5 F 1
69 49334 5 14 6 F 4
10 34231 2 6 6 M 4
149 23845 0 0 0 F 3
96 54786 5 12 8 F 4
164 38436 7 18 9 M 1
177 36554 4 9 4 F 2
86 27562 6 0 2 F 2
172 28436 1 0 4 F 1
93 65374 0 27 12 F 4
31 69246 3 22 10 M 4
85 37415 4 9 4 F 2
70 30860 0 2 3 F 2
121 41612 16 22 7 M 1
92 29575 3 1 2 F 4
171 37351 6 9 2 F 4
179 47727 5 15 6 M 3
32 48695 19 6 8 M 4
181 56449 3 12 8 M 2
127 35518 4 6 4 M 4
37 39743 6 9 5 F 4
8 32920 3 15 9 F 1
170 51059 19 6 8 M 4
