ID Salary Experience Employed Education Gender Department
77 72369 3 22 10 M 4
71 44658 9 6 4 M 2
3 32782 1 0 7 M 1
181 56449 3 12 8 M 2
4 54899 5 12 8 F 4
136 32986 6 7 5 F 3
140 48548 3 20 4 M 4
12 39331 3 9 6 F 4
177 36554 4 9 4 F 2
99 26435 1 5 0 M 4
5 34869 5 7 4 F 4
108 35368 5 9 4 F 2
128 56240 3 20 6 F 3
157 38851 5 6 2 M 4
162 29999 0 2 3 F 2
103 25215 0 0 0 F 3
57 24525 0 0 0 F 3
87 48407 5 15 6 M 3
172 28436 1 0 4 F 1
17 36578 4 4 8 M 3
115 46098 5 14 6 F 4
143 37233 5 7 4 F 4
170 51059 19 6 8 M 4
114 34519 4 5 4 M 4
145 28912 1 5 0 M 4
100 32643 3 15 9 F 1
127 35518 4 6 4 M 4
182 31616 6 7 5 F 3
150 41695 3 9 6 F 4
63 37449 4 4 8 M 3
82 55550 3 20 6 F 3
142 57263 5 12 8 F 4
6 35487 2 8 2 F 4
151 38876 6 6 4 F 4
141 32233 1 0 7 M 1
120 51585 6 18 6 M 4
81 38754 4 6 4 M 4
42 36571 1 6 4 M 2
121 41612 16 22 7 M 1
67 24520 11 3 3 M 1
30 38791 4 21 5 M 1
69 49334 5 14 6 F 4
22 34632 4 5 4 M 4
148 36595 2 6 6 M 4
45 24749 2 6 0 F 1
86 27562 6 0 2 F 2
23 46211 5 14 6 F 4
1 65487 0 27 12 F 4
76 31783 4 21 5 M 1
90 32296 6 7 5 F 3
