ID Salary Experience Employed Education Gender Department
33 34987 6 9 2 F 4
167 41340 16 22 7 M 1
168 38242 4 21 5 M 1
22 34632 4 5 4 M 4
1 65487 0 27 12 F 4
71 44658 9 6 4 M 2
11 23654 0 0 0 F 3
41 47536 5 15 6 M 3
138 26339 3 1 2 F 4
34 28985 1 0 4 F 1
3 32782 1 0 7 M 1
46 26452 3 1 2 F 4
66 38419 9 19 4 M 3
15 68425 2 25 12 M 4
39 36431 4 9 4 F 2
91 17741 2 6 0 F 1
102 34118 2 6 6 M 4
75 34881 16 22 7 M 1
38 41255 4 9 6 M 4
108 35368 5 9 4 F 2
130 41142 4 9 6 M 4
146 32371 3 15 9 F 1
30 38791 4 21 5 M 1
169 71610 3 22 10 M 4
178 26701 6 0 2 F 2
99 26435 1 5 0 M 4
2 46184 3 20 4 M 4
128 56240 3 20 6 F 3
64 32820 6 18 5 F 1
26 38985 7 18 9 M 1
45 24749 2 6 0 F 1
88 37555 1 6 4 M 2
69 49334 5 14 6 F 4
16 35468 5 9 4 F 2
29 41889 16 22 7 M 1
76 31783 4 21 5 M 1
74 54821 6 18 6 M 4
56 37354 2 6 6 M 4
156 39279 6 18 5 F 1
28 51698 6 18 6 M 4
21 31528 11 3 3 M 1
23 46211 5 14 6 F 4
114 34519 4 5 4 M 4
150 41695 3 9 6 F 4
53 29671 1 5 0 M 4
136 32986 6 7 5 F 3
89 57310 3 12 8 M 2
142 57263 5 12 8 F 4
104 39218 3 9 6 F 4
97 34756 5 7 4 F 4
