ID Salary Experience Employed Education Gender Department
179 47727 5 15 6 M 3
51 37992 5 7 4 F 4
139 67851 0 27 12 F 4
110 39551 6 18 5 F 1
32 48695 19 6 8 M 4
140 48548 3 20 4 M 4
9 29548 6 5 1 M 1
14 35467 6 3 6 F 2
3 32782 1 0 7 M 1
29 41889 16 22 7 M 1
5 34869 5 7 4 F 4
8 32920 3 15 9 F 1
88 37555 1 6 4 M 2
83 42866 6 9 5 F 4
171 37351 6 9 2 F 4
118 38708 7 18 9 M 1
15 68425 2 25 12 M 4
43 56326 3 12 8 M 2
146 32371 3 15 9 F 1
77 72369 3 22 10 M 4
27 53234 0 25 6 M 3
64 32820 6 18 5 F 1
10 34231 2 6 6 M 4
95 32505 1 0 7 M 1
100 32643 3 15 9 F 1
106 35367 6 3 6 F 2
13 36512 6 6 4 F 4
12 39331 3 9 6 F 4
34 28985 1 0 4 F 1
102 34118 2 6 6 M 4
61 71548 2 25 12 M 4
4 54899 5 12 8 F 4
33 34987 6 9 2 F 4
56 37354 2 6 6 M 4
128 56240 3 20 6 F 3
117 43574 9 6 4 M 2
127 35518 4 6 4 M 4
115 46098 5 14 6 F 4
172 28436 1 0 4 F 1
174 54870 3 20 6 F 3
98 35374 2 8 2 F 4
45 24749 2 6 0 F 1
157 38851 5 6 2 M 4
20 37548 9 19 4 M 3
168 38242 4 21 5 M 1
175 42107 6 9 5 F 4
145 28912 1 5 0 M 4
91 17741 2 6 0 F 1
114 34519 4 5 4 M 4
18 39828 6 18 5 F 1
