ID Salary Experience Employed Education Gender Department
15 68425 2 25 12 M 4
117 43574 9 6 4 M 2
51 37992 5 7 4 F 4
9 29548 6 5 1 M 1
153 70789 2 25 12 M 4
176 43619 4 9 6 M 4
1 65487 0 27 12 F 4
54 25912 3 15 9 F 1
86 27562 6 0 2 F 2
184 28816 3 1 2 F 4
24 29876 0 2 3 F 2
8 32920 3 15 9 F 1
94 46071 3 20 4 M 4
96 54786 5 12 8 F 4
56 37354 2 6 6 M 4
125 34874 6 9 2 F 4
97 34756 5 7 4 F 4
4 54899 5 12 8 F 4
79 38110 6 9 2 F 4
167 41340 16 22 7 M 1
11 23654 0 0 0 F 3
110 39551 6 18 5 F 1
69 49334 5 14 6 F 4
155 36769 4 4 8 M 3
133 49097 5 15 6 M 3
152 35590 6 3 6 F 2
156 39279 6 18 5 F 1
124 48582 19 6 8 M 4
42 36571 1 6 4 M 2
59 39635 6 6 4 F 4
166 54062 6 18 6 M 4
5 34869 5 7 4 F 4
145 28912 1 5 0 M 4
3 32782 1 0 7 M 1
170 51059 19 6 8 M 4
150 41695 3 9 6 F 4
85 37415 4 9 4 F 2
83 42866 6 9 5 F 4
12 39331 3 9 6 F 4
164 38436 7 18 9 M 1
18 39828 6 18 5 F 1
60 36451 6 3 6 F 2
111 36374 5 6 2 M 4
135 56226 3 12 8 M 2
179 47727 5 15 6 M 3
134 36471 1 6 4 M 2
140 48548 3 20 4 M 4
84 44378 4 9 6 M 4
178 26701 6 0 2 F 2
20 37548 9 19 4 M 3
