ID Salary Experience Employed Education Gender Department
5 34869 5 7 4 F 4
59 39635 6 6 4 F 4
139 67851 0 27 12 F 4
18 39828 6 18 5 F 1
40 26578 6 0 2 F 2
127 35518 4 6 4 M 4
113 31251 11 3 3 M 1
119 54795 0 25 6 M 3
172 28436 1 0 4 F 1
7 26548 1 5 0 M 4
97 34756 5 7 4 F 4
11 23654 0 0 0 F 3
130 41142 4 9 6 M 4
166 54062 6 18 6 M 4
48 49307 3 20 4 M 4
179 47727 5 15 6 M 3
138 26339 3 1 2 F 4
128 56240 3 20 6 F 3
151 38876 6 6 4 F 4
149 23845 0 0 0 F 3
159 30979 11 3 3 M 1
109 38139 4 4 8 M 3
27 53234 0 25 6 M 3
126 28708 1 0 4 F 1
103 25215 0 0 0 F 3
165 53425 0 25 6 M 3
55 22540 6 5 1 M 1
74 54821 6 18 6 M 4
168 38242 4 21 5 M 1
46 26452 3 1 2 F 4
51 37992 5 7 4 F 4
104 39218 3 9 6 F 4
61 71548 2 25 12 M 4
114 34519 4 5 4 M 4
137 24472 2 6 0 F 1
14 35467 6 3 6 F 2
180 36694 1 6 4 M 2
99 26435 1 5 0 M 4
107 68312 2 25 12 M 4
16 35468 5 9 4 F 2
134 36471 1 6 4 M 2
64 32820 6 18 5 F 1
183 24200 2 6 0 F 1
122 38514 4 21 5 M 1
112 39109 9 19 4 M 3
141 32233 1 0 7 M 1
69 49334 5 14 6 F 4
52 38610 2 8 2 F 4
30 38791 4 21 5 M 1
90 32296 6 7 5 F 3
