ID Salary Experience Employed Education Gender Department
159 30979 11 3 3 M 1
28 51698 6 18 6 M 4
118 38708 7 18 9 M 1
165 53425 0 25 6 M 3
6 35487 2 8 2 F 4
86 27562 6 0 2 F 2
126 28708 1 0 4 F 1
177 36554 4 9 4 F 2
61 71548 2 25 12 M 4
94 46071 3 20 4 M 4
31 69246 3 22 10 M 4
29 41889 16 22 7 M 1
179 47727 5 15 6 M 3
89 57310 3 12 8 M 2
144 37851 2 8 2 F 4
67 24520 11 3 3 M 1
129 39630 6 9 5 F 4
26 38985 7 18 9 M 1
114 34519 4 5 4 M 4
158 37739 9 19 4 M 3
18 39828 6 18 5 F 1
92 29575 3 1 2 F 4
147 28999 6 5 1 M 1
156 39279 6 18 5 F 1
15 68425 2 25 12 M 4
38 41255 4 9 6 M 4
107 68312 2 25 12 M 4
163 43797 9 6 4 M 2
53 29671 1 5 0 M 4
148 36595 2 6 6 M 4
68 37755 4 5 4 M 4
100 32643 3 15 9 F 1
154 35591 5 9 4 F 2
64 32820 6 18 5 F 1
131 36331 4 9 4 F 2
14 35467 6 3 6 F 2
66 38419 9 19 4 M 3
172 28436 1 0 4 F 1
8 32920 3 15 9 F 1
106 35367 6 3 6 F 2
153 70789 2 25 12 M 4
119 54795 0 25 6 M 3
181 56449 3 12 8 M 2
33 34987 6 9 2 F 4
41 47536 5 15 6 M 3
9 29548 6 5 1 M 1
2 46184 3 20 4 M 4
136 32986 6 7 5 F 3
44 31425 6 7 5 F 3
7 26548 1 5 0 M 4
