1.000	0.419	0.518	0.566	0.181	0.175	0.230	0.306	0.241	0.212	0.274	0.207
0.419	1.000	0.576	0.499	0.187	0.246	0.229	0.225	0.220	0.259	0.321	0.259
0.518	0.576	1.000	0.643	0.291	0.344	0.411	0.340	0.329	0.388	0.394	0.367
0.566	0.499	0.643	1.000	0.384	0.396	0.377	0.404	0.423	0.366	0.337	0.367
0.181	0.187	0.291	0.384	1.000	0.579	0.594	0.676	0.693	0.439	0.555	0.653
0.175	0.246	0.344	0.396	0.579	1.000	0.578	0.701	0.623	0.622	0.599	0.578
0.230	0.229	0.411	0.377	0.594	0.578	1.000	0.677	0.684	0.542	0.784	0.639
0.306	0.225	0.340	0.404	0.676	0.701	0.677	1.000	0.698	0.686	0.711	0.719
0.241	0.220	0.329	0.423	0.693	0.623	0.684	0.698	1.000	0.586	0.646	0.691
0.212	0.259	0.388	0.366	0.439	0.622	0.542	0.686	0.586	1.000	0.623	0.635
0.274	0.321	0.394	0.337	0.555	0.599	0.784	0.711	0.646	0.623	1.00	0.64
0.207	0.259	0.367	0.367	0.653	0.578	0.639	0.719	0.691	0.635	0.64	1
