age,genderF0,subject,mode,time,cost,chosen
25,0,1,car,2.4,4.3,1
25,0,1,bus,1,8.9,0
25,0,1,train,0.4,8.3,0
28,0,2,car,5.5,4,1
28,0,2,bus,23,3,0
28,0,2,train,21.5,2,0
41,1,3,car,8.5,5.9,0
41,1,3,bus,7.1,8.6,0
41,1,3,train,8,4.8,1
45,0,4,car,8.3,4.2,0
45,0,4,bus,6.7,11.5,1
45,0,4,train,8,4.8,0
42,0,5,car,4.1,8.9,0
42,0,5,bus,3.7,5.2,1
42,0,5,train,1.6,7.5,0
46,0,6,car,5.6,1.7,0
46,0,6,bus,3.2,2.3,1
46,0,6,train,2.9,7.4,0
43,0,7,car,4.5,5,0
43,0,7,bus,1.6,5.4,1
43,0,7,train,3.2,5.1,0
42,0,8,car,4.6,4,0
42,0,8,bus,3.1,3.1,1
42,0,8,train,3.5,6.8,0
42,0,9,car,4.6,2,0
42,0,9,bus,3.6,2.3,1
42,0,9,train,3.9,6,0
45,0,10,car,4.5,6.8,0
45,0,10,bus,5.7,5.4,1
45,0,10,train,4.1,8.6,0
45,0,11,car,4.5,6.1,0
45,0,11,bus,3.3,2.4,1
45,0,11,train,4.3,5.1,0
40,0,12,car,6.6,14.7,0
40,0,12,bus,5.9,7,1
40,0,12,train,4.9,10.7,0
41,0,13,car,6,5,0
41,0,13,bus,4.5,6,1
41,0,13,train,5.5,7,0
49,0,14,car,6.3,6.1,0
49,0,14,bus,7.8,1.4,1
49,0,14,train,5.5,3.9,0
59,1,15,car,6.7,4.8,0
59,1,15,bus,5.6,4.6,1
59,1,15,train,5.5,5.1,0
53,0,16,car,6.2,3.3,0
53,0,16,bus,3.3,2.4,1
53,0,16,train,5.9,2.8,0
55,1,17,car,6.8,5.9,0
55,1,17,bus,6.7,4.2,1
55,1,17,train,6,6.6,0
45,0,18,car,3.5,6,0
45,0,18,bus,2,6,1
45,0,18,train,7,5,0
42,0,19,car,8.1,10.5,0
42,0,19,bus,6.3,6.5,1
42,0,19,train,7.4,7.3,0
49,0,20,car,9.3,1.7,0
49,0,20,bus,8.1,2,1
49,0,20,train,9,11.4,0
43,0,21,car,3.5,6,0
43,0,21,bus,4.5,5,1
43,0,21,train,4.5,7,0
52,0,22,car,9.9,3.9,0
52,0,22,bus,10,14,1
52,0,22,train,8.4,13,0
48,1,23,car,16,7.3,0
48,1,23,bus,15,14,1
48,1,23,train,15.3,13.6,0
52,1,24,car,19,9,0
52,1,24,bus,19,17,1
52,1,24,train,18.7,16.9,0
40,0,25,car,7.5,8.9,0
40,0,25,bus,8.4,3.3,1
40,0,25,train,6.6,5,0
40,0,26,car,8.5,13.4,0
40,0,26,bus,8,10,1
40,0,26,train,7.2,9.2,0
44,1,27,car,17.3,4.8,0
44,1,27,bus,15,8,1
44,1,27,train,14.9,7,0
19,0,28,car,6.9,5.2,1
19,0,28,bus,6.7,1.8,0
19,0,28,train,5.2,4.4,0
13,1,29,car,7.5,2,1
13,1,29,bus,2,7.5,0
13,1,29,train,5.5,7,0
29,0,30,car,8,2.6,1
29,0,30,bus,6.1,0.1,0
29,0,30,train,5.8,1.2,0
30,0,31,car,7,4.8,1
30,0,31,bus,7.6,7.8,0
30,0,31,train,6.7,7.1,0
36,0,32,car,10,7,1
36,0,32,bus,7,11.6,0
36,0,32,train,8.9,16.5,0
25,0,33,car,3,7.3,1
25,0,33,bus,7.3,3,0
25,0,33,train,9,8.2,0
36,0,34,car,5,10,1
36,0,34,bus,10,7.1,0
36,0,34,train,11.5,9.2,0
38,0,35,car,23.7,1.4,1
38,0,35,bus,20.8,0.8,0
38,0,35,train,23.3,3,0
28,0,36,car,3.5,1.3,1
28,0,36,bus,1.4,18.1,0
28,0,36,train,1.4,6.3,0
23,0,37,car,4,3,1
23,0,37,bus,5,5,0
23,0,37,train,5.5,6,0
30,0,38,car,7.9,0.4,1
30,0,38,bus,7.2,19,0
30,0,38,train,6.5,7.9,0
21,0,39,car,9,5,1
21,0,39,bus,8,9,0
21,0,39,train,9,8,0
32,0,40,car,8.2,10.3,1
32,0,40,bus,13,8.2,0
32,0,40,train,9.5,16.4,0
14,0,41,car,8.8,2.9,1
14,0,41,bus,9,8.8,0
14,0,41,train,9.7,2.3,0
14,0,42,car,9.3,3.5,1
14,0,42,bus,4,9.3,0
14,0,42,train,10.2,4.8,0
24,0,43,car,10.5,4,1
24,0,43,bus,6,10.5,0
24,0,43,train,10.5,4,0
27,0,44,car,8.9,8.7,1
27,0,44,bus,15,8.9,0
27,0,44,train,11.3,18,0
34,0,45,car,10.6,5.6,1
34,0,45,bus,35,10.6,0
34,0,45,train,11.4,7.3,0
36,0,46,car,11.5,1,1
36,0,46,bus,12,11.5,0
36,0,46,train,11.5,7,0
33,0,47,car,11,5,1
33,0,47,bus,14,11,0
33,0,47,train,12,7,0
36,0,48,car,10.5,3.4,1
36,0,48,bus,11,10.5,0
36,0,48,train,12.2,12.3,0
14,0,49,car,7,3.7,0
14,0,49,bus,6.5,1.8,1
14,0,49,train,5.9,0.9,0
35,0,50,car,8.4,6.1,0
35,0,50,bus,8.1,7.4,1
35,0,50,train,7.8,6.2,0
34,0,51,car,10.3,3.1,0
34,0,51,bus,7.4,2.6,0
34,0,51,train,8.5,0.1,1
19,0,52,car,10.9,3.5,0
19,0,52,bus,10.4,3.1,0
19,0,52,train,9.5,3.1,1
33,0,53,car,10.6,0.7,0
33,0,53,bus,10.5,3.7,0
33,0,53,train,11.4,12.5,1
27,0,54,car,10.8,1.3,0
27,0,54,bus,9.4,4,0
27,0,54,train,12.4,13.5,1
37,0,55,car,14.6,7.2,0
37,0,55,bus,77,14.6,0
37,0,55,train,15.8,14.3,1
37,0,56,car,15.9,5.4,0
37,0,56,bus,98,15.9,0
37,0,56,train,16.7,14.6,1
33,0,57,car,21.8,0.8,0
