fooditem calories protein fat calcium iron
Braised_beef        340 20 28   9 2.6
Hamburger           245 21 17   9 2.7
Roast_beef          420 15 39   7 2.0
Beef_steak          375 19 32   9 2.6
Canned_beef         180 22 10  17 3.7
Broiled_chicken     115 20  3   8 1.4
Canned_chicken      170 25  7  12 1.5
Beef_heart          160 26  5  14 5.9
Roast_lamb_leg      265 20 20   9 2.6
Roast_lamb_shoulder 300 18 25   9 2.3
Smoked_ham          340 20 28   9 2.5
Roast_pork          340 19 29   9 2.5
Simmered_pork       355 19 30   9 2.4
Beef_tongue         205 18 14   7 2.5
Veal_cutlet         185 23  9   9 2.7
Baked_bluefish      135 22  4  25 0.6
Raw_clams            70 11  1  82 6.0
Canned_clams         45  7  1  74 5.4
Canned_crabmeat      90 14  2  38 0.8
Fried_haddock       135 16  5  15 0.5
Broiled_mackerel    200 19 13   5 1.0
Canned_mackerel     155 16  9 157 1.8
Fried_perch         195 16 11  14 1.3
Canned_salmon       120 17  5 159 0.7
Canned_sardines     180 22  9 367 2.5
Canned_tuna         170 25  7   7 1.2
Canned_shrimp       110 23  1  98 2.6
