age,genderF0,chosen
25,0,car
28,0,car
41,1,train
45,0,bus
42,0,bus
46,0,bus
43,0,bus
42,0,bus
42,0,bus
45,0,bus
45,0,bus
40,0,bus
41,0,bus
49,0,bus
59,1,bus
53,0,bus
55,1,bus
45,0,bus
42,0,bus
49,0,bus
43,0,bus
52,0,bus
48,1,bus
52,1,bus
40,0,bus
40,0,bus
44,1,bus
19,0,car
13,1,car
29,0,car
30,0,car
36,0,car
25,0,car
36,0,car
38,0,car
28,0,car
23,0,car
30,0,car
21,0,car
32,0,car
14,0,car
14,0,car
24,0,car
27,0,car
34,0,car
36,0,car
33,0,car
36,0,car
14,0,bus
35,0,bus
34,0,train
19,0,train
33,0,train
27,0,train
37,0,train
37,0,train
33,0,train
27,1,bus
59,0,bus
61,1,bus
28,1,bus
41,1,train
53,0,bus
39,1,bus
38,1,bus
48,0,bus
62,1,car
62,1,car
39,1,train
40,1,train
30,1,bus
37,1,bus
30,1,bus
32,1,bus
22,0,bus
47,1,car
46,1,car
49,1,car
44,1,train
37,1,train
45,1,train
27,1,train
42,1,train
35,1,train
45,1,train
44,1,train
32,1,train
43,1,train
58,1,train
33,1,train
36,1,train
23,1,train
39,1,train
26,1,train
47,1,train
51,1,train
58,1,train
38,1,train
28,1,train
44,1,train
35,1,train
31,1,train
42,1,train
37,1,train
37,1,train
40,1,train
34,1,train
