price       size     distance
588.64     107.75     10.7458
808.59     269.09      2.2880
701.54     131.62     17.3983
526.68     270.59     31.2830
767.52     540.52     14.0419
1310.67    1112.76     10.2558
2131.18    1994.53      5.6452
272.62     135.67     34.4395
543.01     267.32     28.4292
499.94     541.49     32.5892
393.34    1113.39     34.2106
795.50    1999.52     29.7485
546.54     138.14     52.1130
191.87     542.39     45.1164
522.52    1111.10     37.8171
739.10    1994.55     29.7123



