year inflation
1960 2.32394366197218
1961 1.30763936682733
1962 2.43112264417808
1963 3.24364737396402
1964 5.82376825817436
1965 3.90803782779624
1966 5.76214023622457
1967 3.45533218314714
1968 3.72079328019139
1969 7.42179005501286
1970 3.66893088808657
1971 7.47767867671158
1972 7.80279219256613
1973 8.02220995878924
1974 9.59142267268517
1975 10.2174757948242
1976 8.83065158603149
1977 6.39929487406091
1978 4.11201196269292
1979 4.19929990168351
1980 6.51345545521795
1981 6.73892655204789
1982 5.91109658468382
1983 2.74084033162254
1984 3.30164075759306
1985 2.25858442988615
1986 0.0833467771085985
1987 -0.69121048141158
1988 0.737950688332387
1989 1.08215810253293
1990 2.45409184818342
1991 3.15820041477126
1992 3.18358181761553
1993 2.58418448671794
1994 2.80152463293184
1995 1.92322003453521
1996 1.94936713166006
1997 2.1092456273948
1998 1.95913632274256
1999 2.15717918055056
2000 2.36052233801956
2001 4.15584127195611
2002 3.28753104712768
2003 2.09199838997658
2004 1.26364739183177
2005 1.68813017869622
2006 1.10150106517704
2007 1.61385859802103
2008 2.48650198289454
2009 1.18977687021549
2010 1.27530569556686
2011 2.3410701775137
2012 2.45554765291609
2013 2.50689852657884
2014 0.976035079699661
2015 0.600248147278775
2016 0.316666666666663
2017 1.3814587140721
2018 1.70349794744475
2019 2.63369910249593
