year inflation
1961 1.01876675603215
1962 1.06157112526541
1963 1.6281512605042
1964 1.91214470284239
1965 2.33265720081134
1966 3.81565906838456
1967 3.57995226730307
1968 4.05529953917053
1969 4.56155890168291
1970 3.34603981363828
1971 2.70491803278688
1972 4.9880287310455
1973 7.48764728240213
1974 10.997171145686
1975 10.672188595094
1976 7.54173862982152
1977 7.97644539614562
1978 8.97372335151215
1979 9.1446769790719
1980 10.1292205085452
1981 12.4716124148373
1982 10.7689718997139
1983 5.86358802977366
1984 4.30477830391736
1985 3.96203054065208
1986 4.19478629085617
1987 4.3561087122174
1988 4.02823414871611
1989 4.98362189985959
1990 4.78047693336305
1991 5.62586408593004
1992 1.49013290374545
1993 1.86507936507936
1994 0.165562913907281
1995 2.14876033057852
1996 1.57053112507137
1997 1.62121638084528
1998 0.995942456658074
1999 1.73484295105918
2000 2.71943995691972
2001 2.52512013979907
2002 2.25839440940856
2003 2.75856321360112
2004 1.85725871857261
2005 2.21355203439764
2006 2.00202539534156
2007 2.13838399266843
2008 2.37027067444294
2009 0.299466803009284
2010 1.77687154092629
2011 2.91213508872355
2012 1.51567823124521
2013 0.93829189781521
2014 1.90663590717873
2015 1.12524136094279
2016 1.4287595470108
2017 1.5968841285297
2018 2.268225672481
2019 1.94926902411596
2020 0.716999632307852
