year inflation
1961 1.79770429009207
1962 2.68085396987464
1963 1.96849850441886
1964 3.47490547676608
1965 3.39748975611087
1966 2.75548077542814
1967 6.05692006267523
1968 4.31192496550193
1969 4.92524242695134
1970 6.5171810515548
1971 10.3875683188137
1972 6.93280459206853
1973 8.16666927326659
1974 11.1094020122225
1975 14.6849834723994
1976 16.9068570059449
1977 14.3835494194622
1978 11.9566179733303
1979 13.6995950156641
1980 17.1505454240954
1981 15.3701595831853
1982 16.1636941231018
1983 7.34107586057345
1984 6.17125347924443
1985 15.4176555719918
1986 13.2133980640021
1987 15.7443007888927
1988 6.37524944411055
1989 5.71599155135626
1990 6.09844414810207
1991 2.60239285999773
1992 1.01456027171234
1993 1.28820776574389
1994 1.74537790773741
1995 3.75494413677554
1996 2.28571305402195
1997 1.18714833105633
1998 1.26524409915407
1999 -0.114267129777519
2000 2.61523446246318
2001 2.62581630392901
2002 2.6770925771161
2003 1.75357444759553
2004 2.2902490284757
2005 3.03702332617015
2006 3.36540196171992
2007 2.37614310290657
2008 3.9589493731206
2009 2.1156511055456
2010 2.30202385958576
2011 4.02790667392038
2012 1.05991318445635
2013 1.13442266445812
2014 1.22750750597405
2015 0.292704628136101
2016 0.646240284454502
2017 1.85078767452532
2018 1.59829703801698
2019 1.61963190184049
