year inflation
1964 6.97924673989614
1965 13.2141378382198
1966 6.24036708297991
1967 6.39163108782114
1968 4.95436611736466
1969 2.16034713599864
1970 5.73114484293536
1971 8.23688714893596
1972 8.27228754941943
1973 11.4167076137085
1974 15.6803733985389
1975 16.9532859334983
1976 17.6248800527482
1977 24.5380632929204
1978 19.7736704973662
1979 15.6602355971771
1980 15.5619020957245
1981 14.5493457170322
1982 14.4150020548327
1983 12.17407273517
1984 11.2802765604036
1985 8.81445506678394
1986 8.79493932290324
1987 5.24801863489584
1988 4.83727066490366
1989 6.79143584025096
1990 6.72181952228662
1991 5.93421344335925
1992 5.92453126228495
1993 4.56907173681805
1994 4.71841373967334
1995 4.67380337624704
1996 3.55884559338558
1997 1.97107395582925
1998 1.83432999908412
1999 2.31034813987068
2000 3.43351563418762
2001 3.58983413338114
2002 3.0656568590222
2003 3.03888839396654
2004 3.03924881090927
2005 3.36881409750382
2006 3.51557576832125
2007 2.78679745804947
2008 4.07534335957341
2009 -0.287813083535237
2010 1.79986457728766
2011 3.19610188833788
2012 2.44612782366812
2013 1.40858109183012
2014 -0.151114837527181
2015 -0.500365709903282
2016 -0.202598000426425
2017 1.95607633363964
2018 1.67498136863794
2019 0.699518994458693
