year inflation
1961 3.54223986727562
1962 4.38179863851184
1963 2.7087669949983
1964 3.86856354936625
1965 4.93091637676271
1966 2.05482059257983
1967 3.97467292898835
1968 2.76486447339764
1969 3.08040419539539
1970 4.37282441582133
1971 4.704258138287
1972 6.35514612686782
1973 7.53107803827125
1974 9.52178819742239
1975 8.44525863917966
1976 7.31868545106923
1977 5.49461568127665
1978 3.57431857551219
1979 3.70740096353416
1980 6.32832536226099
1981 6.80304177599256
1982 5.43603082512853
1983 3.33916453409529
1984 5.66318573909355
1985 3.1895168180519
1986 1.70544456731969
1987 1.40195271783978
1988 1.91571684671255
1989 2.56834829029368
1990 3.26187231878578
1991 3.3374270347479
1992 4.02084780038555
1993 3.63178524943182
1994 2.95340936761076
1995 2.24336631500904
1996 1.86097115760431
1997 1.30597857227694
1998 0.92246719668082
1999 0.568993765885587
2000 2.34486285357277
2001 2.65000077279529
2002 1.81035787764132
2003 1.35555370896445
2004 2.06120618032866
2005 2.29913785639285
2006 1.44154851119019
2007 2.16855528800755
2008 3.21595033239883
2009 0.506308827696486
2010 1.81353438995065
2011 3.28657914875376
2012 2.48567562177017
2013 2.00015616900603
2014 1.60581182954471
2015 0.896563335260302
2016 0.891591752655335
2017 2.08126911385587
2018 1.99837981429546
