year inflation
1960 -5.0300415959369
1961 3.77970638342674
1962 -0.554904259869536
1963 4.30682175435956
1964 9.16214587129444
1965 2.26394257289727
1966 8.30183585332305
1967 -2.93531098100655
1968 1.31621187827357
1969 1.41318124201974
1970 1.36849340736669
1971 9.57958328225631
1972 3.18969396917933
1973 22.7389194789195
1974 14.9506973439721
1975 16.7735703245817
1976 7.03815227823618
1977 6.49190058113335
1978 -2.67359498369295
1979 13.0939242998194
1980 17.7783052456577
1981 10.8583333329997
1982 7.35924227605049
1983 10.2436633526545
1984 6.40203239106073
1985 10.6488390138928
1986 3.27992663366621
1987 -11.4494646121705
1988 4.10546805875063
1989 6.92390503711237
1990 21.2760320067832
1991 15.4199073669492
1992 19.358494654122
1993 29.7059715065173
1994 39.3316195372752
1995 27.6081851727601
1996 20.5835962145112
1997 20.5590073395833
1998 5.269035470422
1999 3.00439421550734
2000 9.33322197565604
2001 13.31672224251
2002 7.03287406224597
2003 28.6995777887374
2004 21.0318339277221
2005 13.973008326384
2006 11.3452152244299
2007 6.55722772638073
2008 15.2817744823772
2009 0.393886040173338
2010 4.82734190074673
2011 6.33279483849046
2012 5.01804155429241
2013 4.76502404779137
2014 3.43816659958603
2015 6.73184069659
2016 11.5029073942667
2017 10.6800887242583
2018 12.4814111170435
