year inflation
1962 4.31599287754383
1963 3.44021288042956
1964 3.08055687101811
1965 3.41447860846184
1966 4.77597959563687
1967 4.00519621563876
1968 2.39582226957012
1969 2.48903598959381
1970 3.61598678629519
1971 6.5732211192579
1972 6.6600070416024
1973 8.7546703302464
1974 9.76741431913023
1975 6.69659522507834
1976 1.71547632285655
1977 1.29599916278317
1978 1.02879289487424
1979 3.64764010558788
1980 4.0225008483901
1981 6.49030964005712
1982 5.65510182392343
1983 2.94979443545727
1984 2.93145669136628
1985 3.43539935298264
1986 0.750309839410771
1987 1.44032188041728
1988 1.8724685973187
1989 3.15526979710905
1990 5.40395909218942
1991 5.85959663468672
1992 4.03703020778741
1993 3.29262180313608
1994 0.852116995120689
1995 1.79982776867147
1996 0.811634064628214
1997 0.520225422736623
1998 0.0179384378439626
1999 0.806444380959444
2000 1.55852919679006
2001 0.989020329832555
2002 0.64271150654328
2003 0.638272930887213
2004 0.802908730955216
2005 1.17195420333701
2006 1.05950928324804
2007 0.732350603122241
2008 2.42604117060162
2009 -0.480481936423328
2010 0.688238707220017
2011 0.231349207650894
2012 -0.692552018105236
2013 -0.217323155115639
2014 -0.0132025387515987
2015 -1.14390867228178
2016 -0.434618664285843
2017 0.533787839825886
2018 0.936335464113605
2019 0.362886179940635
2020 -0.725874933313391
2021 0.581814168489875
