ID Salary Experience Employed Education Gender Department
136 31491 6 7 5 F 3
99 26841 1 5 0 M 4
138 26745 3 1 2 F 4
10 34231 2 6 6 M 4
127 35924 4 6 4 M 4
16 35468 5 9 4 F 2
154 35480 5 9 4 F 2
27 53234 0 25 6 M 3
131 36281 4 9 4 F 2
184 29838 3 1 2 F 4
29 41889 16 22 7 M 1
48 53807 3 20 4 M 4
157 39873 5 6 2 M 4
133 47602 5 15 6 M 3
129 40036 6 9 5 F 4
180 36583 1 6 4 M 2
87 47507 5 15 6 M 3
57 23625 0 0 0 F 3
102 34524 2 6 6 M 4
170 52081 19 6 8 M 4
59 44135 6 6 4 F 4
71 44708 9 6 4 M 2
120 51991 6 18 6 M 4
53 34171 1 5 0 M 4
137 23974 2 6 0 F 1
109 36644 4 4 8 M 3
150 42717 3 9 6 F 4
60 36501 6 3 6 F 2
93 65780 0 27 12 F 4
115 46504 5 14 6 F 4
106 35317 6 3 6 F 2
144 38873 2 8 2 F 4
24 29876 0 2 3 F 2
73 53205 0 25 6 M 3
70 30910 0 2 3 F 2
178 26590 6 0 2 F 2
112 37614 9 19 4 M 3
8 32920 3 15 9 F 1
98 35780 2 8 2 F 4
21 31528 11 3 3 M 1
152 35479 6 3 6 F 2
147 29449 6 5 1 M 1
118 38210 7 18 9 M 1
140 49570 3 20 4 M 4
83 47366 6 9 5 F 4
31 69246 3 22 10 M 4
139 68873 0 27 12 F 4
18 39828 6 18 5 F 1
145 29934 1 5 0 M 4
89 57360 3 12 8 M 2
