ID Salary Experience Employed Education Gender Department
113 30753 11 3 3 M 1
122 38016 4 21 5 M 1
173 39017 4 6 4 M 4
103 23720 0 0 0 F 3
171 38373 6 9 2 F 4
126 28210 1 0 4 F 1
92 34075 3 1 2 F 4
184 29838 3 1 2 F 4
31 69246 3 22 10 M 4
170 52081 19 6 8 M 4
98 35780 2 8 2 F 4
168 38692 4 21 5 M 1
133 47602 5 15 6 M 3
22 34632 4 5 4 M 4
130 41548 4 9 6 M 4
177 36443 4 9 4 F 2
44 31425 6 7 5 F 3
25 43674 9 6 4 M 2
34 28985 1 0 4 F 1
85 37465 4 9 4 F 2
180 36583 1 6 4 M 2
76 31783 4 21 5 M 1
102 34524 2 6 6 M 4
24 29876 0 2 3 F 2
1 65487 0 27 12 F 4
159 31429 11 3 3 M 1
77 76869 3 22 10 M 4
153 71811 2 25 12 M 4
95 32007 1 0 7 M 1
154 35480 5 9 4 F 2
52 43110 2 8 2 F 4
37 39743 6 9 5 F 4
145 29934 1 5 0 M 4
10 34231 2 6 6 M 4
51 42492 5 7 4 F 4
69 53834 5 14 6 F 4
73 53205 0 25 6 M 3
110 39053 6 18 5 F 1
99 26841 1 5 0 M 4
142 58285 5 12 8 F 4
8 32920 3 15 9 F 1
90 31396 6 7 5 F 3
7 26548 1 5 0 M 4
161 49597 5 14 6 F 4
91 17741 2 6 0 F 1
174 54870 3 20 6 F 3
169 72632 3 22 10 M 4
147 29449 6 5 1 M 1
134 36421 1 6 4 M 2
183 24650 2 6 0 F 1
