ID Salary Experience Employed Education Gender Department
6 35487 2 8 2 F 4
91 17741 2 6 0 F 1
178 26590 6 0 2 F 2
169 72632 3 22 10 M 4
125 35280 6 9 2 F 4
162 29888 0 2 3 F 2
156 39729 6 18 5 F 1
43 56326 3 12 8 M 2
44 31425 6 7 5 F 3
142 58285 5 12 8 F 4
114 34925 4 5 4 M 4
62 36502 5 9 4 F 2
63 36549 4 4 8 M 3
166 55084 6 18 6 M 4
177 36443 4 9 4 F 2
140 49570 3 20 4 M 4
81 43254 4 6 4 M 4
120 51991 6 18 6 M 4
21 31528 11 3 3 M 1
103 23720 0 0 0 F 3
69 53834 5 14 6 F 4
98 35780 2 8 2 F 4
23 46211 5 14 6 F 4
181 56338 3 12 8 M 2
161 49597 5 14 6 F 4
26 38985 7 18 9 M 1
45 24749 2 6 0 F 1
119 53300 0 25 6 M 3
180 36583 1 6 4 M 2
32 48695 19 6 8 M 4
29 41889 16 22 7 M 1
3 32782 1 0 7 M 1
9 29548 6 5 1 M 1
50 62522 5 12 8 F 4
159 31429 11 3 3 M 1
75 34881 16 22 7 M 1
17 36578 4 4 8 M 3
56 41854 2 6 6 M 4
25 43674 9 6 4 M 2
55 22540 6 5 1 M 1
94 46477 3 20 4 M 4
106 35317 6 3 6 F 2
149 23845 0 0 0 F 3
74 59321 6 18 6 M 4
60 36501 6 3 6 F 2
4 54899 5 12 8 F 4
72 31977 7 18 9 M 1
34 28985 1 0 4 F 1
19 36487 5 6 2 M 4
127 35924 4 6 4 M 4
