ID Salary Experience Employed Education Gender Department
4 54899 5 12 8 F 4
120 51991 6 18 6 M 4
67 24520 11 3 3 M 1
140 49570 3 20 4 M 4
100 32145 3 15 9 F 1
20 37548 9 19 4 M 3
118 38210 7 18 9 M 1
12 39331 3 9 6 F 4
22 34632 4 5 4 M 4
136 31491 6 7 5 F 3
26 38985 7 18 9 M 1
132 26428 6 0 2 F 2
55 22540 6 5 1 M 1
121 41114 16 22 7 M 1
137 23974 2 6 0 F 1
158 37739 9 19 4 M 3
106 35317 6 3 6 F 2
99 26841 1 5 0 M 4
48 53807 3 20 4 M 4
95 32007 1 0 7 M 1
161 49597 5 14 6 F 4
104 39624 3 9 6 F 4
169 72632 3 22 10 M 4
70 30910 0 2 3 F 2
98 35780 2 8 2 F 4
178 26590 6 0 2 F 2
139 68873 0 27 12 F 4
61 76048 2 25 12 M 4
81 43254 4 6 4 M 4
53 34171 1 5 0 M 4
93 65780 0 27 12 F 4
65 44110 5 6 2 M 4
58 46954 3 9 6 F 4
59 44135 6 6 4 F 4
50 62522 5 12 8 F 4
165 53425 0 25 6 M 3
115 46504 5 14 6 F 4
144 38873 2 8 2 F 4
91 17741 2 6 0 F 1
107 68718 2 25 12 M 4
180 36583 1 6 4 M 2
72 31977 7 18 9 M 1
39 36431 4 9 4 F 2
14 35467 6 3 6 F 2
134 36421 1 6 4 M 2
92 34075 3 1 2 F 4
151 39898 6 6 4 F 4
103 23720 0 0 0 F 3
110 39053 6 18 5 F 1
88 37605 1 6 4 M 2
