ID Salary Experience Employed Education Gender Department
54 25912 3 15 9 F 1
107 68718 2 25 12 M 4
17 36578 4 4 8 M 3
129 40036 6 9 5 F 4
139 68873 0 27 12 F 4
122 38016 4 21 5 M 1
135 56176 3 12 8 M 2
25 43674 9 6 4 M 2
161 49597 5 14 6 F 4
81 43254 4 6 4 M 4
32 48695 19 6 8 M 4
4 54899 5 12 8 F 4
177 36443 4 9 4 F 2
167 41790 16 22 7 M 1
21 31528 11 3 3 M 1
96 55192 5 12 8 F 4
48 53807 3 20 4 M 4
182 31616 6 7 5 F 3
38 41255 4 9 6 M 4
138 26745 3 1 2 F 4
126 28210 1 0 4 F 1
155 36769 4 4 8 M 3
110 39053 6 18 5 F 1
63 36549 4 4 8 M 3
102 34524 2 6 6 M 4
61 76048 2 25 12 M 4
72 31977 7 18 9 M 1
95 32007 1 0 7 M 1
13 36512 6 6 4 F 4
125 35280 6 9 2 F 4
36 54679 3 20 6 F 3
27 53234 0 25 6 M 3
165 53425 0 25 6 M 3
158 37739 9 19 4 M 3
130 41548 4 9 6 M 4
53 34171 1 5 0 M 4
87 47507 5 15 6 M 3
157 39873 5 6 2 M 4
121 41114 16 22 7 M 1
173 39017 4 6 4 M 4
180 36583 1 6 4 M 2
117 43524 9 6 4 M 2
77 76869 3 22 10 M 4
6 35487 2 8 2 F 4
90 31396 6 7 5 F 3
91 17741 2 6 0 F 1
71 44708 9 6 4 M 2
175 43129 6 9 5 F 4
39 36431 4 9 4 F 2
7 26548 1 5 0 M 4
