ID Salary Experience Employed Education Gender Department
94 46477 3 20 4 M 4
133 47602 5 15 6 M 3
157 39873 5 6 2 M 4
117 43524 9 6 4 M 2
23 46211 5 14 6 F 4
81 43254 4 6 4 M 4
34 28985 1 0 4 F 1
64 32820 6 18 5 F 1
165 53425 0 25 6 M 3
41 47536 5 15 6 M 3
183 24650 2 6 0 F 1
177 36443 4 9 4 F 2
50 62522 5 12 8 F 4
141 32683 1 0 7 M 1
130 41548 4 9 6 M 4
3 32782 1 0 7 M 1
24 29876 0 2 3 F 2
169 72632 3 22 10 M 4
112 37614 9 19 4 M 3
19 36487 5 6 2 M 4
154 35480 5 9 4 F 2
51 42492 5 7 4 F 4
161 49597 5 14 6 F 4
173 39017 4 6 4 M 4
160 38018 4 5 4 M 4
11 23654 0 0 0 F 3
80 21977 1 0 4 F 1
39 36431 4 9 4 F 2
84 48878 4 9 6 M 4
97 35162 5 7 4 F 4
59 44135 6 6 4 F 4
43 56326 3 12 8 M 2
68 42255 4 5 4 M 4
28 51698 6 18 6 M 4
17 36578 4 4 8 M 3
32 48695 19 6 8 M 4
163 43686 9 6 4 M 2
99 26841 1 5 0 M 4
14 35467 6 3 6 F 2
55 22540 6 5 1 M 1
145 29934 1 5 0 M 4
106 35317 6 3 6 F 2
62 36502 5 9 4 F 2
9 29548 6 5 1 M 1
148 37617 2 6 6 M 4
174 54870 3 20 6 F 3
151 39898 6 6 4 F 4
108 35318 5 9 4 F 2
101 28773 6 5 1 M 1
78 56318 19 6 8 M 4
