Industry experience age publications phds masters ranking
no 12.9035883257261 39.774436418774 483 26 282 4.037
no 13.1402199949947 38.5635069412582 513 35 327 46.5041
yes 12.4431957669435 41.4572709515882 904 44 700 94.6794
yes 7 41.8234075744268 714 37 567 48.4533
no 12.2581425558032 43.7862083732068 573 29 321 9.2209
no 7.67671699777145 43.6466403611115 447 26 269 26.9411
no 11.8417013264054 35.3851447897959 343 33 271 6.6415
no 13.2014277031617 42.7784914943915 409 28 269 45.9103
no 9.50017280213559 42.3457388933314 496 35 324 35.2497
no 10.2506822705009 41.1460613767157 459 26 274 25.7825
yes 9.39939936361145 41.0856722118078 774 39 607 51.7475
no 10.363754454124 41.2227713470454 438 33 300 43.7612
no 12.1518394489399 40.8432416134657 460 29 286 35.4801
yes 10.5543373336035 41.5793164925344 757 37 589 74.1368
no 14.2895329575383 43.4628947471914 453 32 300 29.094
yes 12.8802302439489 40.2708991518425 730 35 567 57.9704
no 10.6995387970588 44.3908428701895 453 25 267 46.6734
no 11.2827281286125 43.1071142980743 447 25 269 18.2558
no 10.0118578017185 42.8069818963596 411 31 284 44.441
no 11.1617427989179 38.8230885867974 590 38 361 54.1205
no 11.0481939197483 42.9560758404013 448 20 246 44.6065
yes 12.1932166223737 38.6831491507501 593 32 484 64.2436
no 12.2038946026147 41.560417567916 361 15 200 25.2479
yes 9.09345616188581 40.9914179218611 756 37 592 52.1903
no 12.1122737185828 44.3777774864649 582 28 316 27.7058
no 12.4831428537379 42.1359499058331 429 33 295 41.9642
no 13.7542038588504 40.3279673496498 455 30 290 59.2694
no 12.422602519336 42.5381801974228 517 38 342 -4.0534
no 9.36545864070265 42.392931583708 568 30 323 59.3887
no 13.0322961232735 38.4686408942141 507 33 319 35.4633
no 11.9212141435569 41.8659902381046 471 33 308 61.4595
no 13.0099867716986 39.2412682598569 507 27 293 -4.6126
no 10.443743966822 40.7926187136496 465 29 289 25.669
no 10.689242173255 40.8405979488658 446 26 270 42.0514
no 12.156701743514 38.0791482593326 480 30 296 61.2141
no 11.7369236452908 43.5587002783495 523 34 326 44.4656
no 9.25496061303047 42.0939134538495 421 32 290 19.3435
yes 9.64384883984221 41.7303767986751 770 37 599 65.4695
no 12.5484501436045 37.5622135119664 461 26 276 29.9179
no 9.33819165544446 46.0192091728607 368 27 255 37.6835
no 9.70152900096531 35.598604319879 421 36 305 29.6988
yes 10.3102692138099 39.6057007022098 745 48 629 56.9042
no 11.941998069383 47.229242863198 456 32 301 28.7152
yes 11.4959063769947 43.6919322347924 683 30 521 58.237
no 10.7858206909702 40.0812107546898 455 32 299 31.9114
no 14.6756563501805 40.6320543240303 486 29 297 6.5151
no 12.956024835838 38.0312782664552 586 28 319 62.3126
no 12.1510767360656 41.8279957526579 361 15 201 49.106
yes 11.9740320101059 38.6407849717499 659 35 532 51.8601
no 8.14349727687669 40.878832767458 415 32 288 22.7724
no 11.4969551071969 41.4645683398223 534 27 298 41.9767
no 10.9988082611338 39.9150750057898 545 30 314 28.7407
no 10.5828437272825 37.2127035730984 488 29 295 31.1677
yes 11.0681197935908 40.871054712933 663 35 531 23.0487
no 12.3081002490734 40.9425210509987 467 31 297 15.3907
no 12.7596262706916 42.1588907969884 476 23 268 5.2091
no 9.73089344662797 41.2256116478551 551 32 326 50.8108
no 9.72517310007031 35 600 39 367 33.0665
no 12.5984078368748 43.2100861266599 428 27 270 43.702
yes 10.9728760234058 39.1927865098821 814 43 645 55.5672
no 15 41.840449379285 454 36 316 34.9801
no 10.1652584285731 39.5604525254644 455 22 258 40.7057
yes 13.3263219363373 37.546875887594 750 46 627 65.0556
no 11.0988189867836 42.0366923167678 447 27 275 55.6054
no 13.0040757469223 37.4863774803473 593 31 332 24.5515
yes 10.1314130447736 43.991693212555 701 38 567 69.1462
no 12.1750068524985 46.6653994555362 524 29 305 39.2957
no 11.3401222724077 40.1134809415816 508 38 340 29.5767
no 10.4449833752428 42.5981323929753 390 36 299 39.1483
yes 13.3894364266902 35.7278161582528 745 46 622 67.9243
no 13.4322436867634 41.3209802096579 548 29 311 31.7855
yes 9.69390187222176 41.3624486014796 681 35 542 47.8695
no 12.0698478149468 38.8061778727458 465 17 238 51.4918
no 9.98220733872794 39.6571975407365 456 28 284 25.119
no 12.4499648437034 41.2283645547938 459 39 329 36.2021
no 10.0051840640679 40.8833554002858 523 23 280 30.2514
no 10.4865512268952 44.4017889525408 620 38 372 51.3359
no 10.3628964021404 38.7518625818771 476 32 306 38.732
no 12.7124334115909 40.4354399625954 339 25 236 36.2702
yes 9.86484489518657 37.6295723380919 787 39 616 76.2823
no 13.2049552502056 43.1791049993664 391 19 227 33.1907
no 11.3518489828509 40.9668383956233 393 25 251 26.7588
no 11.1531622790814 40.342474732247 530 27 298 47.9676
yes 8.68120985329695 48.6652552556489 737 45 615 27.3071
no 11.0818486253292 41.3728266236689 539 37 344 -9.6073
yes 8.42484298840438 39.4174324554619 728 37 574 69.3061
