Industry experience age publications phds masters ranking
no 12.5484501436045 37.5622135119664 461 26 276 29.9179
yes 12.9934931057907 42.3482951640601 838 42 654 54.7547
no 12.1531741964701 39.7083011068434 402 33 290 35.8167
no 10.443743966822 40.7926187136496 465 29 289 25.669
no 12.2581425558032 43.7862083732068 573 29 321 9.2209
no 10.1652584285731 39.5604525254644 455 22 258 40.7057
no 9.13264053580579 46.2977989853572 562 40 363 78.9656
no 11.941998069383 47.229242863198 456 32 301 28.7152
no 11.3401222724077 40.1134809415816 508 38 340 29.5767
no 12.863069204276 44.3586163802333 445 34 305 34.7322
yes 12.1932166223737 38.6831491507501 593 32 484 64.2436
yes 9.56824492617178 38.4845247302807 720 43 596 43.85
no 9.70152900096531 35.598604319879 421 36 305 29.6988
no 8.14349727687669 40.878832767458 415 32 288 22.7724
no 8.80925027707929 43.8956691967192 331 23 228 36.8731
no 13.2049552502056 43.1791049993664 391 19 227 33.1907
yes 10.4070384097437 45.1426267975827 933 40 698 57.4204
no 13.4322436867634 41.3209802096579 548 29 311 31.7855
no 9.36545864070265 42.392931583708 568 30 323 59.3887
no 10.4449833752428 42.5981323929753 390 36 299 39.1483
no 10.4865512268952 44.4017889525408 620 38 372 51.3359
no 11.0988189867836 42.0366923167678 447 27 275 55.6054
no 9.33819165544446 46.0192091728607 368 27 255 37.6835
no 10.689242173255 40.8405979488658 446 26 270 42.0514
no 12.9035883257261 39.774436418774 483 26 282 4.037
yes 11.9740320101059 38.6407849717499 659 35 532 51.8601
yes 11.5956310853166 38.1650564345922 769 44 625 63.8082
no 12.156701743514 38.0791482593326 480 30 296 61.2141
yes 10.700587527261 40.6624892396296 823 42 648 61.1652
no 10.8996555874677 40.9262002455768 467 33 305 19.686
yes 12.8802302439489 40.2708991518425 730 35 567 57.9704
yes 11.0681197935908 40.871054712933 663 35 531 23.0487
yes 10.3102692138099 39.6057007022098 745 48 629 56.9042
no 9.50017280213559 42.3457388933314 496 35 324 35.2497
no 11.0818486253292 41.3728266236689 539 37 344 -9.6073
yes 10.5543373336035 41.5793164925344 757 37 589 74.1368
no 13.0040757469223 37.4863774803473 593 31 332 24.5515
