q01 q02 q03 q04 q05 q06 q07 q08 q09 q10 q11 q12 q13 q14 q15 q16 q17 q18 q19 q20 q21 q22 q23
18.34 21.68 36.84 7.59 48.12 80.4 38.28 10.38 16.89 29.64 26.88 88.12 67.83 6.12 82.68 20.6 32.58 6.57 58.68 18.44 41.73 17.72 24.04
18.34 21.68 73.68 10.12 48.12 40.2 19.14 10.38 22.52 14.82 26.88 88.12 45.22 4.08 41.34 20.6 21.72 4.38 29.34 18.44 27.82 17.72 24.04
18.34 21.68 18.42 12.65 80.2 80.4 38.28 15.57 22.52 14.82 40.32 66.09 67.83 10.2 82.68 30.9 43.44 10.95 14.67 23.05 69.55 22.15 24.04
27.51 21.68 55.26 7.59 48.12 40.2 19.14 15.57 5.63 14.82 26.88 66.09 67.83 6.12 62.01 30.9 21.72 4.38 29.34 18.44 41.73 8.86 12.02
27.51 10.84 36.84 7.59 32.08 40.2 38.28 10.38 11.26 14.82 40.32 66.09 45.22 10.2 103.35 51.5 32.58 4.38 14.67 18.44 55.64 13.29 18.03
27.51 21.68 73.68 7.59 48.12 40.2 28.71 15.57 28.15 22.23 40.32 66.09 67.83 6.12 41.34 30.9 32.58 6.57 14.67 9.22 41.73 8.86 18.03
18.34 10.84 36.84 5.06 48.12 20.1 19.14 5.19 16.89 22.23 13.44 66.09 67.83 6.12 41.34 30.9 10.86 6.57 29.34 4.61 13.91 13.29 24.04
18.34 10.84 36.84 5.06 32.08 40.2 38.28 10.38 5.63 14.82 26.88 66.09 67.83 2.04 41.34 41.2 21.72 6.57 14.67 18.44 55.64 4.43 6.01
18.34 32.52 36.84 10.12 32.08 20.1 19.14 15.57 22.52 7.41 40.32 66.09 22.61 2.04 62.01 20.6 21.72 4.38 58.68 23.05 41.73 17.72 24.04
18.34 10.84 55.26 2.53 32.08 80.4 19.14 10.38 22.52 22.23 26.88 44.06 22.61 8.16 41.34 30.9 21.72 2.19 44.01 4.61 27.82 13.29 6.01
18.34 32.52 92.1 7.59 48.12 20.1 19.14 10.38 22.52 14.82 26.88 44.06 45.22 4.08 62.01 30.9 21.72 2.19 44.01 13.83 27.82 17.72 24.04
18.34 10.84 18.42 5.06 32.08 60.3 28.71 10.38 5.63 7.41 26.88 88.12 67.83 6.12 103.35 30.9 32.58 6.57 14.67 23.05 41.73 4.43 18.03
36.68 10.84 36.84 10.12 64.16 40.2 28.71 20.76 11.26 29.64 40.32 88.12 90.44 8.16 82.68 41.2 43.44 4.38 14.67 23.05 55.64 4.43 12.02
18.34 21.68 55.26 12.65 64.16 80.4 47.85 10.38 11.26 14.82 26.88 88.12 67.83 6.12 82.68 30.9 32.58 6.57 14.67 18.44 69.55 8.86 18.03
18.34 21.68 55.26 7.59 48.12 40.2 19.14 10.38 11.26 29.64 26.88 66.09 67.83 8.16 62.01 20.6 21.72 6.57 44.01 9.22 41.73 13.29 18.03
27.51 21.68 55.26 7.59 64.16 80.4 38.28 15.57 22.52 14.82 40.32 66.09 67.83 8.16 62.01 30.9 32.58 6.57 29.34 13.83 41.73 8.86 18.03
27.51 21.68 73.68 7.59 32.08 40.2 19.14 10.38 22.52 22.23 26.88 44.06 45.22 8.16 62.01 20.6 21.72 4.38 44.01 13.83 27.82 13.29 18.03
18.34 21.68 73.68 5.06 48.12 20.1 9.57 10.38 16.89 7.41 40.32 22.03 45.22 6.12 20.67 10.3 21.72 2.19 58.68 9.22 27.82 13.29 30.05
9.17 21.68 55.26 5.06 32.08 40.2 19.14 5.19 22.52 7.41 26.88 44.06 45.22 4.08 41.34 20.6 21.72 4.38 44.01 18.44 41.73 17.72 24.04
36.68 21.68 36.84 10.12 32.08 60.3 47.85 10.38 16.89 7.41 40.32 66.09 45.22 6.12 62.01 41.2 32.58 6.57 29.34 23.05 55.64 13.29 18.03
