Industry experience age publications phds masters ranking
no 11.0481939197483 42.9560758404013 448 20 246 44.6065
yes 11.9740320101059 38.6407849717499 659 35 532 51.8601
yes 10.4160002860173 44.2993414871815 759 50 644 61.8504
no 10.689242173255 40.8405979488658 446 26 270 42.0514
no 12.0698478149468 38.8061778727458 465 17 238 51.4918
no 11.835122927864 50 520 27 294 44.4657
yes 12.8802302439489 40.2708991518425 730 35 567 57.9704
yes 9.39939936361145 41.0856722118078 774 39 607 51.7475
no 12.9035883257261 39.774436418774 483 26 282 4.037
no 13.5387374718452 43.6278506788319 442 26 268 68.8547
yes 10.700587527261 40.6624892396296 823 42 648 61.1652
no 12.1510767360656 41.8279957526579 361 15 201 49.106
no 10.7858206909702 40.0812107546898 455 32 299 31.9114
no 7.67671699777145 43.6466403611115 447 26 269 26.9411
no 9.69514128064258 36.355850364214 516 35 331 43.9154
no 11.7369236452908 43.5587002783495 523 34 326 44.4656
no 12.2339264220424 39.134756979493 521 30 311 57.2744
yes 11.1453444721193 41.597822144733 731 32 558 60.4793
no 12.1122737185828 44.3777774864649 582 28 316 27.7058
no 10.0118578017185 42.8069818963596 411 31 284 44.441
yes 9.69390187222176 41.3624486014796 681 35 542 47.8695
no 9.33819165544446 46.0192091728607 368 27 255 37.6835
no 11.4969551071969 41.4645683398223 534 27 298 41.9767
no 12.7124334115909 40.4354399625954 339 25 236 36.2702
yes 10.4070384097437 45.1426267975827 933 40 698 57.4204
no 9.72517310007031 35 600 39 367 33.0665
yes 10.3102692138099 39.6057007022098 745 48 629 56.9042
no 11.8097627247917 49.219135762009 443 29 284 15.0004
yes 11.0681197935908 40.871054712933 663 35 531 23.0487
no 13.0040757469223 37.4863774803473 593 31 332 24.5515
no 13.4322436867634 41.3209802096579 548 29 311 31.7855
no 8.14349727687669 40.878832767458 415 32 288 22.7724
yes 9.64384883984221 41.7303767986751 770 37 599 65.4695
no 9.06294764691161 41.9543891386897 281 21 204 37.7184
no 11.7400698358976 41.6730027223191 503 32 313 8.036
no 9.18774654097794 38.0556393080153 439 33 300 49.3615
no 13.1388852474646 35.956460373434 337 25 235 28.032
no 12.956024835838 38.0312782664552 586 28 319 62.3126
no 11.2827281286125 43.1071142980743 447 25 269 18.2558
no 11.0818486253292 41.3728266236689 539 37 344 -9.6073
no 12.395716890515 42.8367395094582 397 25 252 49.432
yes 9.56824492617178 38.4845247302807 720 43 596 43.85
no 12.2596679815519 36.9706007017728 564 28 314 48.9489
no 9.73089344662797 41.2256116478551 551 32 326 50.8108
no 10.8996555874677 40.9262002455768 467 33 305 19.686
yes 12.251278139934 41.6216151261312 795 36 608 83.6589
no 11.1912025836899 35.6403348933139 426 35 303 50.9331
no 11.3401222724077 40.1134809415816 508 38 340 29.5767
no 13.2049552502056 43.1791049993664 391 19 227 33.1907
yes 7 41.8234075744268 714 37 567 48.4533
no 10.443743966822 40.7926187136496 465 29 289 25.669
no 11.3518489828509 40.9668383956233 393 25 251 26.7588
no 12.422602519336 42.5381801974228 517 38 342 -4.0534
yes 8.68120985329695 48.6652552556489 737 45 615 27.3071
no 12.3081002490734 40.9425210509987 467 31 297 15.3907
no 12.4831428537379 42.1359499058331 429 33 295 41.9642
no 12.5984078368748 43.2100861266599 428 27 270 43.702
no 12.2038946026147 41.560417567916 361 15 200 25.2479
no 9.13264053580579 46.2977989853572 562 40 363 78.9656
no 12.863069204276 44.3586163802333 445 34 305 34.7322
no 13.0322961232735 38.4686408942141 507 33 319 35.4633
no 11.0988189867836 42.0366923167678 447 27 275 55.6054
yes 11.5956310853166 38.1650564345922 769 44 625 63.8082
no 10.0051840640679 40.8833554002858 523 23 280 30.2514
no 10.4865512268952 44.4017889525408 620 38 372 51.3359
no 11.9212141435569 41.8659902381046 471 33 308 61.4595
no 11.1617427989179 38.8230885867974 590 38 361 54.1205
no 12.1531741964701 39.7083011068434 402 33 290 35.8167
no 12.4499648437034 41.2283645547938 459 39 329 36.2021
no 10.9932785927947 42.6357991514055 421 38 316 13.0705
yes 10.5543373336035 41.5793164925344 757 37 589 74.1368
