ID Salary Experience Employed Education Gender Department
13 36512 6 6 4 F 4
107 68312 2 25 12 M 4
131 36331 4 9 4 F 2
91 17741 2 6 0 F 1
113 31251 11 3 3 M 1
33 34987 6 9 2 F 4
57 24525 0 0 0 F 3
104 39218 3 9 6 F 4
76 31783 4 21 5 M 1
66 38419 9 19 4 M 3
47 68610 0 27 12 F 4
157 38851 5 6 2 M 4
126 28708 1 0 4 F 1
102 34118 2 6 6 M 4
64 32820 6 18 5 F 1
60 36451 6 3 6 F 2
34 28985 1 0 4 F 1
112 39109 9 19 4 M 3
175 42107 6 9 5 F 4
59 39635 6 6 4 F 4
54 25912 3 15 9 F 1
164 38436 7 18 9 M 1
80 21977 1 0 4 F 1
46 26452 3 1 2 F 4
18 39828 6 18 5 F 1
125 34874 6 9 2 F 4
68 37755 4 5 4 M 4
12 39331 3 9 6 F 4
132 26478 6 0 2 F 2
36 54679 3 20 6 F 3
75 34881 16 22 7 M 1
16 35468 5 9 4 F 2
28 51698 6 18 6 M 4
115 46098 5 14 6 F 4
35 35631 4 6 4 M 4
161 48575 5 14 6 F 4
8 32920 3 15 9 F 1
95 32505 1 0 7 M 1
97 34756 5 7 4 F 4
44 31425 6 7 5 F 3
173 37995 4 6 4 M 4
55 22540 6 5 1 M 1
7 26548 1 5 0 M 4
180 36694 1 6 4 M 2
62 36452 5 9 4 F 2
61 71548 2 25 12 M 4
88 37555 1 6 4 M 2
154 35591 5 9 4 F 2
38 41255 4 9 6 M 4
176 43619 4 9 6 M 4
