ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
143 2 0 33 0 80
14 1 1 19 0 70
81 1 1 9 0 65
33 1 1 9 0 65
186 2 0 21 0 100
58 1 1 20 1 60
74 1 1 21 0 50
198 1 1 11 0 45
129 2 0 20 0 70
76 1 1 8 0 70
227 1 1 17 0 55
170 2 1 3 1 70
163 2 0 19 1 40
253 1 1 10 0 70
55 1 1 5 0 65
126 2 0 18 0 110
173 2 0 14 1 70
221 1 0 11 0 40
84 1 1 12 1 55
197 1 1 5 1 55
50 1 1 18 0 65
176 2 1 4 1 70
69 1 0 18 0 75
11 1 0 5 1 80
188 2 1 12 0 55
31 1 0 19 0 60
160 2 1 5 0 40
65 1 1 8 1 40
104 2 0 22 0 50
215 1 0 7 1 50
97 1 0 15 1 75
251 1 1 5 1 60
228 1 1 6 1 50
53 1 1 16 0 65
6 1 1 22 0 55
36 1 1 12 1 55
257 1 1 6 0 50
205 1 0 5 1 60
100 1 1 23 0 70
249 2 0 12 1 80
164 2 1 10 0 55
61 1 1 6 1 70
218 1 1 11 0 45
193 2 0 17 1 65
96 1 1 6 0 50
209 1 1 4 1 50
4 1 1 6 0 30
101 1 1 5 1 80
27 1 0 18 1 45
71 1 0 19 1 60
2 1 1 9 1 55
178 2 0 32 0 80
66 1 1 6 1 60
30 1 1 9 1 50
183 2 1 8 1 40
7 1 1 14 1 65
98 1 1 7 0 45
15 1 1 7 1 60
236 1 0 11 0 60
262 2 1 17 0 80
119 2 0 21 0 65
240 1 1 5 1 55
24 1 1 9 0 55
44 1 0 18 0 70
162 2 1 8 1 70
68 1 0 14 0 80
87 1 1 17 0 80
177 2 0 3 1 40
234 1 1 8 1 60
113 2 1 4 1 60
252 1 1 6 1 60
5 1 1 8 1 65
21 1 1 20 1 80
225 1 1 3 0 45
258 2 1 11 0 55
99 1 1 16 0 70
238 2 0 17 1 45
211 1 1 6 0 55
255 1 0 10 1 60
254 1 0 15 0 50
169 2 0 18 0 80
200 1 1 14 1 40
54 1 1 21 0 50
72 1 1 6 1 80
165 2 0 34 1 80
34 1 0 18 0 60
263 2 0 17 0 65
38 1 1 18 0 55
92 1 0 5 1 65
18 1 1 16 1 80
201 1 1 4 0 20
1 1 1 13 0 50
90 1 0 13 0 50
153 2 1 9 0 45
192 1 1 11 0 60
264 1 1 3 0 40
222 1 0 5 1 60
46 1 1 16 1 60
179 2 0 21 1 80
208 1 0 6 1 65
194 1 0 10 1 50
19 1 1 16 0 80
64 1 1 16 0 65
121 2 0 18 0 70
43 1 1 19 0 65
79 1 0 16 0 45
28 1 1 12 1 55
73 1 0 13 0 80
62 1 1 14 0 60
109 2 0 17 0 80
216 1 1 6 1 70
89 1 1 21 0 35
189 1 1 4 1 75
57 1 1 18 1 70
118 2 0 17 0 70
219 1 1 11 1 60
82 1 1 8 1 60
86 1 1 3 0 70
243 1 0 3 1 50
26 1 1 8 1 65
256 2 1 9 0 90
95 1 0 17 0 80
239 1 0 3 0 40
187 2 0 16 0 40
45 1 1 16 0 60
41 1 1 17 1 60
103 2 1 22 1 60
137 2 0 18 0 70
23 1 1 11 1 60
245 1 1 5 1 60
52 1 1 15 0 30
146 2 1 6 1 50
175 2 1 7 1 60
134 2 1 7 1 70
229 1 1 7 0 50
217 1 1 14 0 55
10 1 1 12 1 65
88 1 1 16 1 70
131 2 0 11 0 70
110 2 1 14 0 50
233 1 0 3 0 55
70 1 1 11 0 65
235 1 1 4 1 55
133 2 1 21 0 40
214 1 0 17 0 40
16 1 1 12 1 60
51 1 1 5 0 35
184 2 0 7 0 40
3 1 1 8 0 55
22 1 1 7 1 60
