ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
79 1 0 16 0 45
109 2 0 17 0 80
258 2 1 11 0 55
51 1 1 5 0 35
113 2 1 4 1 60
216 1 1 6 1 70
31 1 0 19 0 60
61 1 1 6 1 70
137 2 0 18 0 70
133 2 1 21 0 40
13 1 1 16 0 55
96 1 1 6 0 50
186 2 0 21 0 100
253 1 1 10 0 70
97 1 0 15 1 75
173 2 0 14 1 70
71 1 0 19 1 60
161 2 0 18 1 80
195 1 0 14 1 75
18 1 1 16 1 80
38 1 1 18 0 55
187 2 0 16 0 40
233 1 0 3 0 55
264 1 1 3 0 40
234 1 1 8 1 60
36 1 1 12 1 55
129 2 0 20 0 70
64 1 1 16 0 65
263 2 0 17 0 65
181 2 1 7 0 100
2 1 1 9 1 55
98 1 1 7 0 45
227 1 1 17 0 55
19 1 1 16 0 80
54 1 1 21 0 50
21 1 1 20 1 80
28 1 1 12 1 55
175 2 1 7 1 60
238 2 0 17 1 45
16 1 1 12 1 60
32 1 1 20 0 80
189 1 1 4 1 75
183 2 1 8 1 40
200 1 1 14 1 40
131 2 0 11 0 70
254 1 0 15 0 50
250 1 1 4 0 40
45 1 1 16 0 60
210 1 1 18 0 65
126 2 0 18 0 110
6 1 1 22 0 55
68 1 0 14 0 80
153 2 1 9 0 45
11 1 0 5 1 80
169 2 0 18 0 80
235 1 1 4 1 55
218 1 1 11 0 45
207 1 0 4 1 40
223 2 1 5 1 80
184 2 0 7 0 40
46 1 1 16 1 60
102 1 1 15 0 65
89 1 1 21 0 35
226 1 0 9 1 80
252 1 1 6 1 60
123 2 0 19 1 100
3 1 1 8 0 55
206 1 1 7 1 40
34 1 0 18 0 60
105 2 0 5 0 50
41 1 1 17 1 60
214 1 0 17 0 40
103 2 1 22 1 60
23 1 1 11 1 60
243 1 0 3 1 50
256 2 1 9 0 90
163 2 0 19 1 40
57 1 1 18 1 70
208 1 0 6 1 65
100 1 1 23 0 70
228 1 1 6 1 50
118 2 0 17 0 70
66 1 1 6 1 60
150 2 1 5 0 40
90 1 0 13 0 50
93 1 1 5 0 65
221 1 0 11 0 40
239 1 0 3 0 40
4 1 1 6 0 30
44 1 0 18 0 70
92 1 0 5 1 65
132 2 0 20 0 70
249 2 0 12 1 80
104 2 0 22 0 50
101 1 1 5 1 80
82 1 1 8 1 60
7 1 1 14 1 65
26 1 1 8 1 65
176 2 1 4 1 70
170 2 1 3 1 70
24 1 1 9 0 55
156 2 0 11 0 60
94 1 1 15 0 80
74 1 1 21 0 50
14 1 1 19 0 70
262 2 1 17 0 80
95 1 0 17 0 80
110 2 1 14 0 50
72 1 1 6 1 80
194 1 0 10 1 50
177 2 0 3 1 40
50 1 1 18 0 65
53 1 1 16 0 65
215 1 0 7 1 50
67 1 1 12 0 60
87 1 1 17 0 80
259 2 0 17 1 50
201 1 1 4 0 20
84 1 1 12 1 55
80 1 0 11 1 60
62 1 1 14 0 60
15 1 1 7 1 60
43 1 1 19 0 65
217 1 1 14 0 55
65 1 1 8 1 40
76 1 1 8 0 70
224 1 1 17 1 50
193 2 0 17 1 65
257 1 1 6 0 50
119 2 0 21 0 65
70 1 1 11 0 65
245 1 1 5 1 60
188 2 1 12 0 55
255 1 0 10 1 60
81 1 1 9 0 65
5 1 1 8 1 65
162 2 1 8 1 70
143 2 0 33 0 80
52 1 1 15 0 30
69 1 0 18 0 75
205 1 0 5 1 60
192 1 1 11 0 60
179 2 0 21 1 80
146 2 1 6 1 50
73 1 0 13 0 80
236 1 0 11 0 60
165 2 0 34 1 80
197 1 1 5 1 55
40 1 1 23 0 60
22 1 1 7 1 60
