ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
183 2 1 8 1 40
113 2 1 4 1 60
200 1 1 14 1 40
221 1 0 11 0 40
95 1 0 17 0 80
192 1 1 11 0 60
253 1 1 10 0 70
181 2 1 7 0 100
82 1 1 8 1 60
52 1 1 15 0 30
227 1 1 17 0 55
51 1 1 5 0 35
70 1 1 11 0 65
84 1 1 12 1 55
198 1 1 11 0 45
255 1 0 10 1 60
89 1 1 21 0 35
53 1 1 16 0 65
175 2 1 7 1 60
207 1 0 4 1 40
57 1 1 18 1 70
162 2 1 8 1 70
96 1 1 6 0 50
92 1 0 5 1 65
66 1 1 6 1 60
121 2 0 18 0 70
118 2 0 17 0 70
239 1 0 3 0 40
206 1 1 7 1 40
160 2 1 5 0 40
34 1 0 18 0 60
164 2 1 10 0 55
238 2 0 17 1 45
76 1 1 8 0 70
249 2 0 12 1 80
169 2 0 18 0 80
228 1 1 6 1 50
90 1 0 13 0 50
32 1 1 20 0 80
187 2 0 16 0 40
98 1 1 7 0 45
195 1 0 14 1 75
93 1 1 5 0 65
234 1 1 8 1 60
33 1 1 9 0 65
233 1 0 3 0 55
156 2 0 11 0 60
245 1 1 5 1 60
22 1 1 7 1 60
177 2 0 3 1 40
54 1 1 21 0 50
214 1 0 17 0 40
27 1 0 18 1 45
99 1 1 16 0 70
188 2 1 12 0 55
55 1 1 5 0 65
31 1 0 19 0 60
36 1 1 12 1 55
226 1 0 9 1 80
252 1 1 6 1 60
6 1 1 22 0 55
44 1 0 18 0 70
254 1 0 15 0 50
1 1 1 13 0 50
26 1 1 8 1 65
11 1 0 5 1 80
197 1 1 5 1 55
65 1 1 8 1 40
3 1 1 8 0 55
243 1 0 3 1 50
259 2 0 17 1 50
2 1 1 9 1 55
100 1 1 23 0 70
43 1 1 19 0 65
109 2 0 17 0 80
15 1 1 7 1 60
143 2 0 33 0 80
85 1 1 7 0 40
61 1 1 6 1 70
132 2 0 20 0 70
103 2 1 22 1 60
184 2 0 7 0 40
104 2 0 22 0 50
178 2 0 32 0 80
262 2 1 17 0 80
170 2 1 3 1 70
86 1 1 3 0 70
236 1 0 11 0 60
13 1 1 16 0 55
18 1 1 16 1 80
102 1 1 15 0 65
229 1 1 7 0 50
217 1 1 14 0 55
58 1 1 20 1 60
223 2 1 5 1 80
153 2 1 9 0 45
80 1 0 11 1 60
16 1 1 12 1 60
158 2 0 10 1 60
218 1 1 11 0 45
258 2 1 11 0 55
101 1 1 5 1 80
123 2 0 19 1 100
81 1 1 9 0 65
62 1 1 14 0 60
88 1 1 16 1 70
240 1 1 5 1 55
251 1 1 5 1 60
67 1 1 12 0 60
119 2 0 21 0 65
129 2 0 20 0 70
14 1 1 19 0 70
94 1 1 15 0 80
45 1 1 16 0 60
257 1 1 6 0 50
126 2 0 18 0 110
23 1 1 11 1 60
189 1 1 4 1 75
201 1 1 4 0 20
74 1 1 21 0 50
250 1 1 4 0 40
146 2 1 6 1 50
256 2 1 9 0 90
163 2 0 19 1 40
21 1 1 20 1 80
41 1 1 17 1 60
10 1 1 12 1 65
211 1 1 6 0 55
194 1 0 10 1 50
150 2 1 5 0 40
137 2 0 18 0 70
224 1 1 17 1 50
30 1 1 9 1 50
131 2 0 11 0 70
5 1 1 8 1 65
97 1 0 15 1 75
69 1 0 18 0 75
68 1 0 14 0 80
87 1 1 17 0 80
134 2 1 7 1 70
106 2 1 14 0 55
210 1 1 18 0 65
46 1 1 16 1 60
105 2 0 5 0 50
173 2 0 14 1 70
28 1 1 12 1 55
72 1 1 6 1 80
79 1 0 16 0 45
205 1 0 5 1 60
216 1 1 6 1 70
