ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
7 1 1 14 1 65
210 1 1 18 0 65
106 2 1 14 0 55
197 1 1 5 1 55
123 2 0 19 1 100
53 1 1 16 0 65
126 2 0 18 0 110
259 2 0 17 1 50
11 1 0 5 1 80
255 1 0 10 1 60
146 2 1 6 1 50
132 2 0 20 0 70
110 2 1 14 0 50
14 1 1 19 0 70
164 2 1 10 0 55
218 1 1 11 0 45
45 1 1 16 0 60
187 2 0 16 0 40
170 2 1 3 1 70
50 1 1 18 0 65
66 1 1 6 1 60
198 1 1 11 0 45
211 1 1 6 0 55
15 1 1 7 1 60
262 2 1 17 0 80
227 1 1 17 0 55
98 1 1 7 0 45
193 2 0 17 1 65
219 1 1 11 1 60
31 1 0 19 0 60
254 1 0 15 0 50
223 2 1 5 1 80
143 2 0 33 0 80
58 1 1 20 1 60
179 2 0 21 1 80
2 1 1 9 1 55
51 1 1 5 0 35
195 1 0 14 1 75
79 1 0 16 0 45
215 1 0 7 1 50
5 1 1 8 1 65
34 1 0 18 0 60
41 1 1 17 1 60
72 1 1 6 1 80
221 1 0 11 0 40
189 1 1 4 1 75
194 1 0 10 1 50
226 1 0 9 1 80
55 1 1 5 0 65
229 1 1 7 0 50
86 1 1 3 0 70
186 2 0 21 0 100
184 2 0 7 0 40
32 1 1 20 0 80
239 1 0 3 0 40
96 1 1 6 0 50
222 1 0 5 1 60
102 1 1 15 0 65
169 2 0 18 0 80
257 1 1 6 0 50
206 1 1 7 1 40
216 1 1 6 1 70
100 1 1 23 0 70
192 1 1 11 0 60
177 2 0 3 1 40
90 1 0 13 0 50
21 1 1 20 1 80
73 1 0 13 0 80
76 1 1 8 0 70
92 1 0 5 1 65
65 1 1 8 1 40
234 1 1 8 1 60
173 2 0 14 1 70
183 2 1 8 1 40
67 1 1 12 0 60
240 1 1 5 1 55
109 2 0 17 0 80
156 2 0 11 0 60
133 2 1 21 0 40
256 2 1 9 0 90
81 1 1 9 0 65
52 1 1 15 0 30
263 2 0 17 0 65
181 2 1 7 0 100
74 1 1 21 0 50
54 1 1 21 0 50
61 1 1 6 1 70
93 1 1 5 0 65
97 1 0 15 1 75
137 2 0 18 0 70
188 2 1 12 0 55
105 2 0 5 0 50
163 2 0 19 1 40
82 1 1 8 1 60
207 1 0 4 1 40
252 1 1 6 1 60
217 1 1 14 0 55
205 1 0 5 1 60
88 1 1 16 1 70
3 1 1 8 0 55
103 2 1 22 1 60
233 1 0 3 0 55
175 2 1 7 1 60
6 1 1 22 0 55
129 2 0 20 0 70
225 1 1 3 0 45
36 1 1 12 1 55
22 1 1 7 1 60
43 1 1 19 0 65
13 1 1 16 0 55
28 1 1 12 1 55
23 1 1 11 1 60
44 1 0 18 0 70
238 2 0 17 1 45
4 1 1 6 0 30
134 2 1 7 1 70
57 1 1 18 1 70
178 2 0 32 0 80
101 1 1 5 1 80
85 1 1 7 0 40
209 1 1 4 1 50
228 1 1 6 1 50
27 1 0 18 1 45
201 1 1 4 0 20
235 1 1 4 1 55
208 1 0 6 1 65
245 1 1 5 1 60
62 1 1 14 0 60
158 2 0 10 1 60
121 2 0 18 0 70
1 1 1 13 0 50
95 1 0 17 0 80
33 1 1 9 0 65
153 2 1 9 0 45
87 1 1 17 0 80
84 1 1 12 1 55
250 1 1 4 0 40
89 1 1 21 0 35
224 1 1 17 1 50
251 1 1 5 1 60
165 2 0 34 1 80
64 1 1 16 0 65
162 2 1 8 1 70
118 2 0 17 0 70
19 1 1 16 0 80
214 1 0 17 0 40
80 1 0 11 1 60
176 2 1 4 1 70
71 1 0 19 1 60
69 1 0 18 0 75
