ID Salary Experience Employed Education Gender Department
130 41142 4 9 6 M 4
54 25912 3 15 9 F 1
76 31783 4 21 5 M 1
113 31251 11 3 3 M 1
134 36471 1 6 4 M 2
68 37755 4 5 4 M 4
44 31425 6 7 5 F 3
15 68425 2 25 12 M 4
102 34118 2 6 6 M 4
139 67851 0 27 12 F 4
97 34756 5 7 4 F 4
143 37233 5 7 4 F 4
6 35487 2 8 2 F 4
2 46184 3 20 4 M 4
180 36694 1 6 4 M 2
31 69246 3 22 10 M 4
162 29999 0 2 3 F 2
88 37555 1 6 4 M 2
12 39331 3 9 6 F 4
170 51059 19 6 8 M 4
161 48575 5 14 6 F 4
132 26478 6 0 2 F 2
21 31528 11 3 3 M 1
142 57263 5 12 8 F 4
41 47536 5 15 6 M 3
14 35467 6 3 6 F 2
24 29876 0 2 3 F 2
63 37449 4 4 8 M 3
129 39630 6 9 5 F 4
32 48695 19 6 8 M 4
167 41340 16 22 7 M 1
146 32371 3 15 9 F 1
5 34869 5 7 4 F 4
13 36512 6 6 4 F 4
138 26339 3 1 2 F 4
160 36996 4 5 4 M 4
83 42866 6 9 5 F 4
20 37548 9 19 4 M 3
86 27562 6 0 2 F 2
163 43797 9 6 4 M 2
17 36578 4 4 8 M 3
27 53234 0 25 6 M 3
71 44658 9 6 4 M 2
30 38791 4 21 5 M 1
29 41889 16 22 7 M 1
49 25774 1 0 7 M 1
45 24749 2 6 0 F 1
22 34632 4 5 4 M 4
176 43619 4 9 6 M 4
47 68610 0 27 12 F 4
