ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
214 1 0 17 0 40
6 1 1 22 0 55
23 1 1 11 1 60
162 2 1 8 1 70
32 1 1 20 0 80
249 2 0 12 1 80
3 1 1 8 0 55
178 2 0 32 0 80
46 1 1 16 1 60
26 1 1 8 1 65
94 1 1 15 0 80
243 1 0 3 1 50
61 1 1 6 1 70
99 1 1 16 0 70
36 1 1 12 1 55
85 1 1 7 0 40
210 1 1 18 0 65
101 1 1 5 1 80
219 1 1 11 1 60
183 2 1 8 1 40
74 1 1 21 0 50
217 1 1 14 0 55
69 1 0 18 0 75
170 2 1 3 1 70
233 1 0 3 0 55
84 1 1 12 1 55
200 1 1 14 1 40
143 2 0 33 0 80
129 2 0 20 0 70
58 1 1 20 1 60
11 1 0 5 1 80
177 2 0 3 1 40
227 1 1 17 0 55
255 1 0 10 1 60
256 2 1 9 0 90
209 1 1 4 1 50
169 2 0 18 0 80
14 1 1 19 0 70
245 1 1 5 1 60
251 1 1 5 1 60
89 1 1 21 0 35
158 2 0 10 1 60
186 2 0 21 0 100
215 1 0 7 1 50
195 1 0 14 1 75
211 1 1 6 0 55
13 1 1 16 0 55
88 1 1 16 1 70
62 1 1 14 0 60
126 2 0 18 0 110
65 1 1 8 1 40
19 1 1 16 0 80
240 1 1 5 1 55
239 1 0 3 0 40
30 1 1 9 1 50
52 1 1 15 0 30
7 1 1 14 1 65
72 1 1 6 1 80
164 2 1 10 0 55
92 1 0 5 1 65
192 1 1 11 0 60
71 1 0 19 1 60
263 2 0 17 0 65
44 1 0 18 0 70
70 1 1 11 0 65
198 1 1 11 0 45
221 1 0 11 0 40
259 2 0 17 1 50
103 2 1 22 1 60
208 1 0 6 1 65
226 1 0 9 1 80
224 1 1 17 1 50
40 1 1 23 0 60
118 2 0 17 0 70
86 1 1 3 0 70
1 1 1 13 0 50
252 1 1 6 1 60
28 1 1 12 1 55
76 1 1 8 0 70
24 1 1 9 0 55
257 1 1 6 0 50
161 2 0 18 1 80
262 2 1 17 0 80
193 2 0 17 1 65
87 1 1 17 0 80
188 2 1 12 0 55
153 2 1 9 0 45
250 1 1 4 0 40
97 1 0 15 1 75
150 2 1 5 0 40
68 1 0 14 0 80
218 1 1 11 0 45
132 2 0 20 0 70
201 1 1 4 0 20
216 1 1 6 1 70
109 2 0 17 0 80
31 1 0 19 0 60
4 1 1 6 0 30
50 1 1 18 0 65
104 2 0 22 0 50
236 1 0 11 0 60
234 1 1 8 1 60
207 1 0 4 1 40
43 1 1 19 0 65
79 1 0 16 0 45
197 1 1 5 1 55
137 2 0 18 0 70
90 1 0 13 0 50
106 2 1 14 0 55
264 1 1 3 0 40
16 1 1 12 1 60
146 2 1 6 1 50
228 1 1 6 1 50
33 1 1 9 0 65
53 1 1 16 0 65
2 1 1 9 1 55
100 1 1 23 0 70
173 2 0 14 1 70
181 2 1 7 0 100
165 2 0 34 1 80
194 1 0 10 1 50
21 1 1 20 1 80
57 1 1 18 1 70
163 2 0 19 1 40
64 1 1 16 0 65
222 1 0 5 1 60
113 2 1 4 1 60
5 1 1 8 1 65
98 1 1 7 0 45
134 2 1 7 1 70
176 2 1 4 1 70
80 1 0 11 1 60
22 1 1 7 1 60
93 1 1 5 0 65
15 1 1 7 1 60
238 2 0 17 1 45
223 2 1 5 1 80
34 1 0 18 0 60
179 2 0 21 1 80
67 1 1 12 0 60
131 2 0 11 0 70
81 1 1 9 0 65
73 1 0 13 0 80
225 1 1 3 0 45
121 2 0 18 0 70
54 1 1 21 0 50
10 1 1 12 1 65
96 1 1 6 0 50
110 2 1 14 0 50
189 1 1 4 1 75
