ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
252 1 1 6 1 60
184 2 0 7 0 40
229 1 1 7 0 50
186 2 0 21 0 100
255 1 0 10 1 60
67 1 1 12 0 60
28 1 1 12 1 55
57 1 1 18 1 70
208 1 0 6 1 65
179 2 0 21 1 80
263 2 0 17 0 65
189 1 1 4 1 75
187 2 0 16 0 40
256 2 1 9 0 90
209 1 1 4 1 50
233 1 0 3 0 55
84 1 1 12 1 55
46 1 1 16 1 60
228 1 1 6 1 50
146 2 1 6 1 50
55 1 1 5 0 65
70 1 1 11 0 65
92 1 0 5 1 65
162 2 1 8 1 70
249 2 0 12 1 80
251 1 1 5 1 60
177 2 0 3 1 40
150 2 1 5 0 40
134 2 1 7 1 70
97 1 0 15 1 75
30 1 1 9 1 50
137 2 0 18 0 70
80 1 0 11 1 60
26 1 1 8 1 65
240 1 1 5 1 55
153 2 1 9 0 45
71 1 0 19 1 60
194 1 0 10 1 50
119 2 0 21 0 65
86 1 1 3 0 70
176 2 1 4 1 70
6 1 1 22 0 55
2 1 1 9 1 55
21 1 1 20 1 80
10 1 1 12 1 65
160 2 1 5 0 40
158 2 0 10 1 60
123 2 0 19 1 100
206 1 1 7 1 40
15 1 1 7 1 60
94 1 1 15 0 80
193 2 0 17 1 65
64 1 1 16 0 65
205 1 0 5 1 60
221 1 0 11 0 40
192 1 1 11 0 60
156 2 0 11 0 60
72 1 1 6 1 80
118 2 0 17 0 70
27 1 0 18 1 45
58 1 1 20 1 60
76 1 1 8 0 70
121 2 0 18 0 70
101 1 1 5 1 80
41 1 1 17 1 60
178 2 0 32 0 80
243 1 0 3 1 50
214 1 0 17 0 40
90 1 0 13 0 50
23 1 1 11 1 60
239 1 0 3 0 40
98 1 1 7 0 45
175 2 1 7 1 60
133 2 1 21 0 40
224 1 1 17 1 50
18 1 1 16 1 80
85 1 1 7 0 40
238 2 0 17 1 45
16 1 1 12 1 60
161 2 0 18 1 80
5 1 1 8 1 65
4 1 1 6 0 30
103 2 1 22 1 60
254 1 0 15 0 50
104 2 0 22 0 50
34 1 0 18 0 60
165 2 0 34 1 80
50 1 1 18 0 65
65 1 1 8 1 40
218 1 1 11 0 45
81 1 1 9 0 65
197 1 1 5 1 55
227 1 1 17 0 55
235 1 1 4 1 55
223 2 1 5 1 80
236 1 0 11 0 60
14 1 1 19 0 70
200 1 1 14 1 40
195 1 0 14 1 75
222 1 0 5 1 60
258 2 1 11 0 55
143 2 0 33 0 80
38 1 1 18 0 55
259 2 0 17 1 50
3 1 1 8 0 55
89 1 1 21 0 35
131 2 0 11 0 70
96 1 1 6 0 50
210 1 1 18 0 65
31 1 0 19 0 60
54 1 1 21 0 50
262 2 1 17 0 80
93 1 1 5 0 65
100 1 1 23 0 70
129 2 0 20 0 70
226 1 0 9 1 80
95 1 0 17 0 80
99 1 1 16 0 70
253 1 1 10 0 70
217 1 1 14 0 55
164 2 1 10 0 55
40 1 1 23 0 60
211 1 1 6 0 55
169 2 0 18 0 80
43 1 1 19 0 65
66 1 1 6 1 60
68 1 0 14 0 80
22 1 1 7 1 60
11 1 0 5 1 80
250 1 1 4 0 40
264 1 1 3 0 40
62 1 1 14 0 60
45 1 1 16 0 60
88 1 1 16 1 70
13 1 1 16 0 55
33 1 1 9 0 65
219 1 1 11 1 60
36 1 1 12 1 55
87 1 1 17 0 80
170 2 1 3 1 70
109 2 0 17 0 80
74 1 1 21 0 50
215 1 0 7 1 50
53 1 1 16 0 65
105 2 0 5 0 50
234 1 1 8 1 60
19 1 1 16 0 80
113 2 1 4 1 60
79 1 0 16 0 45
51 1 1 5 0 35
