ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
143 2 0 33 0 80
69 1 0 18 0 75
4 1 1 6 0 30
51 1 1 5 0 35
103 2 1 22 1 60
66 1 1 6 1 60
94 1 1 15 0 80
150 2 1 5 0 40
40 1 1 23 0 60
192 1 1 11 0 60
161 2 0 18 1 80
76 1 1 8 0 70
84 1 1 12 1 55
184 2 0 7 0 40
245 1 1 5 1 60
238 2 0 17 1 45
219 1 1 11 1 60
119 2 0 21 0 65
227 1 1 17 0 55
181 2 1 7 0 100
54 1 1 21 0 50
2 1 1 9 1 55
74 1 1 21 0 50
53 1 1 16 0 65
217 1 1 14 0 55
205 1 0 5 1 60
6 1 1 22 0 55
109 2 0 17 0 80
211 1 1 6 0 55
131 2 0 11 0 70
133 2 1 21 0 40
169 2 0 18 0 80
81 1 1 9 0 65
208 1 0 6 1 65
216 1 1 6 1 70
33 1 1 9 0 65
255 1 0 10 1 60
36 1 1 12 1 55
250 1 1 4 0 40
82 1 1 8 1 60
176 2 1 4 1 70
183 2 1 8 1 40
18 1 1 16 1 80
11 1 0 5 1 80
164 2 1 10 0 55
10 1 1 12 1 65
188 2 1 12 0 55
215 1 0 7 1 50
3 1 1 8 0 55
79 1 0 16 0 45
43 1 1 19 0 65
259 2 0 17 1 50
92 1 0 5 1 65
257 1 1 6 0 50
85 1 1 7 0 40
45 1 1 16 0 60
64 1 1 16 0 65
21 1 1 20 1 80
73 1 0 13 0 80
50 1 1 18 0 65
123 2 0 19 1 100
15 1 1 7 1 60
228 1 1 6 1 50
226 1 0 9 1 80
118 2 0 17 0 70
68 1 0 14 0 80
72 1 1 6 1 80
97 1 0 15 1 75
55 1 1 5 0 65
13 1 1 16 0 55
105 2 0 5 0 50
61 1 1 6 1 70
243 1 0 3 1 50
187 2 0 16 0 40
214 1 0 17 0 40
32 1 1 20 0 80
194 1 0 10 1 50
5 1 1 8 1 65
156 2 0 11 0 60
254 1 0 15 0 50
210 1 1 18 0 65
233 1 0 3 0 55
225 1 1 3 0 45
256 2 1 9 0 90
7 1 1 14 1 65
253 1 1 10 0 70
57 1 1 18 1 70
234 1 1 8 1 60
179 2 0 21 1 80
52 1 1 15 0 30
70 1 1 11 0 65
165 2 0 34 1 80
223 2 1 5 1 80
87 1 1 17 0 80
252 1 1 6 1 60
14 1 1 19 0 70
98 1 1 7 0 45
262 2 1 17 0 80
44 1 0 18 0 70
240 1 1 5 1 55
93 1 1 5 0 65
221 1 0 11 0 40
206 1 1 7 1 40
95 1 0 17 0 80
26 1 1 8 1 65
90 1 0 13 0 50
162 2 1 8 1 70
110 2 1 14 0 50
67 1 1 12 0 60
113 2 1 4 1 60
24 1 1 9 0 55
46 1 1 16 1 60
153 2 1 9 0 45
88 1 1 16 1 70
207 1 0 4 1 40
126 2 0 18 0 110
239 1 0 3 0 40
65 1 1 8 1 40
160 2 1 5 0 40
23 1 1 11 1 60
201 1 1 4 0 20
197 1 1 5 1 55
106 2 1 14 0 55
1 1 1 13 0 50
198 1 1 11 0 45
80 1 0 11 1 60
16 1 1 12 1 60
249 2 0 12 1 80
134 2 1 7 1 70
19 1 1 16 0 80
31 1 0 19 0 60
96 1 1 6 0 50
99 1 1 16 0 70
264 1 1 3 0 40
137 2 0 18 0 70
71 1 0 19 1 60
189 1 1 4 1 75
27 1 0 18 1 45
28 1 1 12 1 55
236 1 0 11 0 60
193 2 0 17 1 65
89 1 1 21 0 35
86 1 1 3 0 70
30 1 1 9 1 50
235 1 1 4 1 55
38 1 1 18 0 55
41 1 1 17 1 60
173 2 0 14 1 70
258 2 1 11 0 55
177 2 0 3 1 40
