ID CHARACTER FAILURE YEARS FAMILY EMPLOYEES
27 1 0 18 1 45
228 1 1 6 1 50
57 1 1 18 1 70
90 1 0 13 0 50
44 1 0 18 0 70
209 1 1 4 1 50
194 1 0 10 1 50
208 1 0 6 1 65
210 1 1 18 0 65
87 1 1 17 0 80
226 1 0 9 1 80
160 2 1 5 0 40
106 2 1 14 0 55
104 2 0 22 0 50
22 1 1 7 1 60
187 2 0 16 0 40
68 1 0 14 0 80
38 1 1 18 0 55
58 1 1 20 1 60
10 1 1 12 1 65
183 2 1 8 1 40
240 1 1 5 1 55
6 1 1 22 0 55
1 1 1 13 0 50
52 1 1 15 0 30
143 2 0 33 0 80
184 2 0 7 0 40
176 2 1 4 1 70
129 2 0 20 0 70
32 1 1 20 0 80
223 2 1 5 1 80
218 1 1 11 0 45
227 1 1 17 0 55
257 1 1 6 0 50
76 1 1 8 0 70
41 1 1 17 1 60
258 2 1 11 0 55
162 2 1 8 1 70
82 1 1 8 1 60
123 2 0 19 1 100
113 2 1 4 1 60
51 1 1 5 0 35
101 1 1 5 1 80
62 1 1 14 0 60
16 1 1 12 1 60
188 2 1 12 0 55
66 1 1 6 1 60
235 1 1 4 1 55
81 1 1 9 0 65
118 2 0 17 0 70
238 2 0 17 1 45
192 1 1 11 0 60
94 1 1 15 0 80
134 2 1 7 1 70
259 2 0 17 1 50
98 1 1 7 0 45
18 1 1 16 1 80
211 1 1 6 0 55
206 1 1 7 1 40
146 2 1 6 1 50
67 1 1 12 0 60
54 1 1 21 0 50
205 1 0 5 1 60
28 1 1 12 1 55
165 2 0 34 1 80
73 1 0 13 0 80
72 1 1 6 1 80
105 2 0 5 0 50
161 2 0 18 1 80
153 2 1 9 0 45
7 1 1 14 1 65
69 1 0 18 0 75
84 1 1 12 1 55
53 1 1 16 0 65
179 2 0 21 1 80
33 1 1 9 0 65
19 1 1 16 0 80
50 1 1 18 0 65
224 1 1 17 1 50
121 2 0 18 0 70
96 1 1 6 0 50
14 1 1 19 0 70
214 1 0 17 0 40
243 1 0 3 1 50
61 1 1 6 1 70
26 1 1 8 1 65
45 1 1 16 0 60
137 2 0 18 0 70
31 1 0 19 0 60
79 1 0 16 0 45
177 2 0 3 1 40
64 1 1 16 0 65
175 2 1 7 1 60
71 1 0 19 1 60
40 1 1 23 0 60
222 1 0 5 1 60
4 1 1 6 0 30
103 2 1 22 1 60
217 1 1 14 0 55
97 1 0 15 1 75
131 2 0 11 0 70
215 1 0 7 1 50
23 1 1 11 1 60
46 1 1 16 1 60
263 2 0 17 0 65
255 1 0 10 1 60
5 1 1 8 1 65
249 2 0 12 1 80
170 2 1 3 1 70
13 1 1 16 0 55
198 1 1 11 0 45
193 2 0 17 1 65
251 1 1 5 1 60
21 1 1 20 1 80
74 1 1 21 0 50
201 1 1 4 0 20
173 2 0 14 1 70
15 1 1 7 1 60
163 2 0 19 1 40
109 2 0 17 0 80
181 2 1 7 0 100
197 1 1 5 1 55
186 2 0 21 0 100
252 1 1 6 1 60
30 1 1 9 1 50
156 2 0 11 0 60
100 1 1 23 0 70
207 1 0 4 1 40
164 2 1 10 0 55
245 1 1 5 1 60
216 1 1 6 1 70
89 1 1 21 0 35
133 2 1 21 0 40
43 1 1 19 0 65
158 2 0 10 1 60
93 1 1 5 0 65
95 1 0 17 0 80
24 1 1 9 0 55
195 1 0 14 1 75
2 1 1 9 1 55
233 1 0 3 0 55
102 1 1 15 0 65
126 2 0 18 0 110
65 1 1 8 1 40
11 1 0 5 1 80
239 1 0 3 0 40
262 2 1 17 0 80
189 1 1 4 1 75
80 1 0 11 1 60
132 2 0 20 0 70
